hanzi,translation,pinyin
配置,Configuration,pèizhì
皮球,Ball,píqiú
偏,Partial,piān
品牌,Brand,pǐnpái
聘请,hire,pìnqǐng
平方米,Square meter,píngfāngmǐ
平台,platform,píngtái
评,Comment,píng
评选,Selection,píngxuǎn
屏幕,screen,píngmù
企图,attempt,qǐtú
起点,starting point,qǐdiǎn
起诉,Prosecute,qǐsù
恰好,exactly,qiàhǎo
恰恰,precisely,qiàqià
牵,Lead,qiān
铅笔,pencil,qiānbǐ
前方,Ahead,qiánfāng
前来,Come,qiánlái
强盗,robber,qiángdào
强化,strengthen,qiánghuà
强势,Strong,qiángshì
强壮,strong,qiángzhuàng
茄子,eggplant,qiézi
亲属,relatives,qīnshǔ
亲眼,With your own eyes,qīnyǎn
清,clear,qīng
清洁工,Cleaner,qīngjiégōng
清明节,Ching Ming Festival,qīngmíngjié
清洗,Cleaning,qīngxǐ
求职,Job hunting,qiúzhí
球拍,racket,qiúpāi
球星,Star,qiúxīng
球员,Player,qiúyuán
取款,Withdrawal,qǔkuǎn
取款机,ATM,qǔkuǎnjī
去掉,Get rid of,qùdiào
权,right,quán
全力,Full force,quánlì
全新,brand new,quánxīn
券,Coupon,quàn
却是,but it is,quèshì
让座,Give up,ràngzuò
热点,Hot spot,rèdiǎn
热水,Hot water,rèshuǐ
热水器,Water heater,rèshuǐqì
热线,hotline,rèxiàn
人权,human rights,rénquán
认同,Identify with,rèntóng
日夜,day and night,rìyè
日语,Japanese,rìyǔ
融合,Fusion,rónghé
融入,assimilate into,róngrù
如,Such as,rú
如一,As one,rúyī
乳制品,Dairy products,rǔzhìpǐn
入,Enter,rù
入学,Admission,rùxué
若,If,ruò
塞,Stop,sāi
赛,Match,sài
赛场,Arena,sàichǎng
三明治,sandwich,sānmíngzhì
山峰,mountain peak,shānfēng
山谷,valley,shāngǔ
山坡,hillside,shānpō
伤口,wound,shāngkǒu
伤亡,casualties,shāngwáng
伤员,Wounded,shāngyuán
商城,Mall,shāngchéng
上帝,God,shàngdì
上市,Listed,shàngshì
上台,On stage,shàngtái
上演,Staged,shàngyǎn
勺,Spoon,sháo
少儿,Children,shǎoér
舌头,tongue,shétou
设计师,Designer,shèjìshī
深化,deepen,shēnhuà
深深,deeply,shēnshēn
升级,upgrade,shēngjí
升学,Go to school,shēngxué
升值,appreciation,shēngzhí
生活费,living expenses,shēnghuófèi
省钱,save money,shěngqián
圣诞节,Christmas,shèngdànjié
师父,Master,shīfù
师生,Teachers and students,shīshēng
时节,season,shíjié
时时,From time to time,shíshí
时装,Fashion,shízhuāng
识,knowledge,shí
识字,Literacy,shízì
食欲,appetite,shíyù
市民,Citizen,shìmín
事后,afterwards,shìhòu
试点,Pilot,shìdiǎn
适当,appropriate,shìdàng
收取,Charge,shōuqǔ
收养,adoption,shōuyǎng
手续费,Handling fee,shǒuxùfèi
首,first,shǒu
首次,first,shǒucì
首脑,summit,shǒunǎo
首席,chief,shǒuxí
首相,prime minister,shǒuxiàng
书房,study,shūfáng
薯片,Potato chips,shǔpiàn
薯条,French fries,shǔtiáo
双打,Doubles,shuāngdǎ
爽,Cool,shuǎng
顺,Shun,shùn
说明书,Manual,shuōmíngshū
说实话,to be honest,shuōshíhuà
司长,Director,sīzhǎng
四处,around,sìchù
寺,Temple,sì
送礼,Present,sònglǐ
送行,See off,sòngxíng
算了,Forget it,suànle
算是,Be regarded as,suànshì
虽,although,suī
岁数,age,suìshù
塔,tower,tǎ
踏,tread,tà
台灯,table lamp,táidēng
太阳能,Solar energy,tàiyángnéng
趟,trip,tàng
特,special,tè
特大,Extra large,tèdà
特地,specially,tèdì
特快,express,tèkuài
特意,specially,tèyì
疼痛,pain,téngtòng
踢,kick,tī
提交,submit,tíjiāo
提升,Promote,tíshēng
天然,natural,tiānrán
天下,World,tiānxià
添,add,tiān
田,field,tián
跳水,diving,tiàoshuǐ
听取,listen to,tīngqǔ
通报,Announce,tōngbào
通道,aisle,tōngdào
通红,Flush,tònghóng
通话,call,tōnghuà
通行,Pass,tōngxíng
通讯,communication,tōngxùn
同,with,tóng
同行,Accompany,tóngháng
同期,The same period,tóngqī
同一,same,tóngyī
铜牌,bronze medal,tóngpái
头疼,headache,tóuténg
透露,disclose,tòulù
图书,books,túshū
土,earth,tǔ
团队,team,tuánduì
推出,roll out,tuīchū
退票,Refund,tuìpiào
吞,swallow,tūn
托,Entrust,tuō
拖,drag,tuō
拖鞋,flip flop,tuōxié
挖,dig,wā
外币,foreign currency,wàibì
外部,external,wàibù
外出,Go out,wàichū
外观,Exterior,wàiguān
外科,surgical,wàikē
外来,foreign,wàilái
外头,Outside,wàitou
外衣,coat,wàiyī
外资,foreign investment,wàizī
弯曲,bending,wānqū
顽皮,naughty,wánpí
王后,queen,wánghòu
网吧,Internet cafe,wǎngba
网页,Web page,wǎngyè
往后,later,wǎnghòu
往来,contacts,wǎnglái
往年,in previous years,wǎngnián
望见,See,wàngjiàn
微波炉,Microwave oven,wēibōlú
为此,to this end,wèicǐ
为何,Why,wèihé
文娱,Entertainment,wényú
卧铺,Sleeper,wòpù
乌云,dark clouds,wūyún
无边,Boundless,wúbiān
无关,Irrelevant,wúguān
无效,invalid,wúxiào
物品,article,wùpǐn
误,error,wù
西班牙语,Spanish,xībānyáyǔ
吸毒,drug,xīdú
洗衣粉,washing powder,xǐyīfěn
戏曲,drama,xìqǔ
先锋,pioneer,xiānfēng
显出,Show up,xiǎnchū
险,risk,xiǎn
线路,line,xiànlù
响声,sound,xiǎngshēng
想不到,Unexpected,xiǎngbúdào
消灭,wipe out,xiāomiè
小费,tip,xiǎofèi
小于,Less than,xiǎoyú
晓得,know,xiǎode
笑脸,Smiley,xiàoliǎn
笑容,Smile,xiàoróng
笑声,laughter,xiàoshēng
协调,coordination,xiétiáo
写字楼,Office building,xiězìlóu
写字台,desk,xiězìtái
心愿,wish,xīnyuàn
心脏病,heart disease,xīnzàngbìng
新人,Newcomer,xīnrén
新兴,new,xīnxīng
信用,credit,xìnyòng
行程,stroke,xíngchéng
形,shape,xíng
凶,fierce,xiōng
修车,Car repair,xiūchē
袖珍,pocket,xiùzhēn
悬,Hang,xuán
选举,election,xuǎnjǔ
学会,learn,xuéhuì
学员,Trainee,xuéyuán
血管,Blood vessel,xuèguǎn
血液,blood,xuèyè
烟花,Fireworks,yānhuā
沿,along,yán
沿着,Along,yánzhe
研发,R &amp; D,yánfā
眼看,See,yǎnkàn
洋,foreign,yáng
仰,Up,yǎng
养老,Pension,yǎnglǎo
样,kind,yàng
药品,drug,yàopǐn
要不然,otherwise,yàobùrán
要好,Better,yāohǎo
要么,Either,yàome
野,wild,yě
野生,wild,yěshēng
医药,medicine,yīyào
依次,In turn,yīcì
一次性,One time,yícìxìng
一代,generation,yídài
一道,Together,yīdào
一路上,Along the way,yīlùshàng
一番,Some,yīfān
一模一样,Exactly the same,yīmúyīyàng
一齐,All together,yīqí
一时,For a while,yīshí
一同,together,yītóng
一行,One line,yīxíng
艺人,artist,yìrén
议题,issue,yìtí
意想不到,unexpected,yìxiǎngbùdào
意愿,Will,yìyuàn
因,because,yīn
阴影,shadow,yīnyǐng
音量,volume,yīnliàng
音像,Audiovisual,yīnxiàng
隐藏,hide,yǐncáng
印,Seal,yìn
迎来,Usher in,yínglái
影迷,Fans,yǐngmí
影星,Movie star,yǐngxīng
应对,response,yìngduì
应急,Emergency,yìngjí
用处,usefulness,yòngchǔ
用得着,Useful,yòngdézhe
用法,usage,yòngfǎ
用品,Supplies,yòngpǐn
用心,Attentively,yòngxīn
优质,high quality,yōuzhì
游人,Tourist,yóurén
游玩,play,yóuwán
游戏机,Game console,yóuxìjī
游行,procession,yóuxíng
有关,related,yǒuguān
有没有,Do you have,yǒuméiyǒu
有事,Something,yǒushì
于,in,yú
与,versus,yǔ
宇航员,astronaut,yǔhángyuán
雨衣,raincoat,yǔyī
预约,reservation,yùyuē
园,garden,yuán
园地,Garden,yuándì
原,original,yuán
圆珠笔,Ballpoint pen,yuánzhūbǐ
援助,assistance,yuánzhù
缘故,reason,yuángù
远方,distance,yuǎnfāng
远离,keep away,yuǎnlí
远远,Far away,yuǎnyuǎn
约定,Agreement,yuēdìng
乐曲,Music,yuèqǔ
运作,Operation,yùnzuò
晕车,Motion sickness,yùnchē
杂,miscellaneous,zá
再生,regeneration,zàishēng
再说,Say again,zàishuō
遭到,Suffered,zāodào
早晚,Sooner or later,zǎowǎn
增进,enhance,zēngjìn
增值,Value-added,zēngzhí
炸,Fried,zhà
炸弹,bomb,zhàdàn
炸药,Explosive,zhàyào
债,debt,zhài
战场,battlefield,zhànchǎng
战友,Comrades-in-arms,zhànyǒu
站台,Platform,zhàntái
章,chapter,zhāng
掌声,applause,zhǎngshēng
账,Account,zhàng
招,trick,zhāo
这就是说,This means that,zhèjiùshìshuō
镇,town,zhèn
整治,Rectify,zhěngzhì
政策,policy,zhèngcè
政党,political party,zhèngdǎng
之类,such as,zhīlèi
知名,famous,zhīmíng
织,Weave,zhī
直升机,Helicopter,zhíshēngjī
职责,Duty,zhízé
止,only,zhǐ
只得,Had to,zhǐde
只顾,Just take care of,zhǐgù
只管,Just mind,zhǐguǎn
指数,index,zhǐshù
指头,Finger,zhǐtou
指着,Pointing,zhǐzhe
治病,Cure,zhìbìng
中等,medium,zhōngděng
中华,China,zhōnghuá
中期,Mid-term,zhōngqī
中外,Chinese and foreign,zhōngwài
忠心,loyalty,zhōngxīn
钟头,hour,zhōngtóu
肿,swollen,zhǒng
种种,All kinds of,zhǒngzhǒng
珠宝,Jewelry,zhūbǎo
主持人,host,zhǔchírén
主角,protagonist,zhǔjué
驻,Resident,zhù
柱子,pillar,zhùzi
祝愿,wish,zhùyuàn
专用,dedicated,zhuānyòng
转,turn,zhuǎn
转动,Rotate,zhuàndòng
赚钱,Make money,zhuànqián
捉,catch,zhuō
自来水,Tap water,zìláishuǐ
自我,self,zìwǒ
自学,Self-study,zìxué
自言自语,Talking to oneself,zìyánzìyǔ
自在,comfortable,zìzài
宗教,religion,zōngjiào
总部,Headquarters,zǒngbù
总监,Director,zǒngjiān
总经理,General manager,zǒngjīnglǐ
总量,Total,zǒngliàng
奏,Play,zòu
租金,rent,zūjīn
足,foot,zú
族,Clan,zú
族,Clan,zú
祖国,motherland,zǔguó
祖母,grandmother,zǔmǔ
钻,Drill,zuān
最佳,optimal,zuìjiā
最终,finally,zuìzhōng
罪,crime,zuì
罪恶,sin,zuìè
作,Make,zuò
作战,Combat,zuòzhàn
座谈会,forum,zuòtánhuì
