hanzi,translation
宏大,grand
互动,interactive
户外,outdoor
护,Protect
花费,spend
花瓶,vase
化解,Resolve
皇帝,emperor
回应,Respond to
毁,destroy
会见,meet
会长,President
绘画,painting
昏,faint
混,mix
机动车,Motor vehicle
机关,organ
基督教,Christian
吉利,auspicious
急救,first aid
集,set
加盟,Join
家电,Home appliances
家园,home
假日,holiday
尖,tip
监测,monitor
简介,Introduction
剑,sword
箭,arrow
讲课,lecture
酱,sauce
脚印,footprint
觉,feel
教堂,church
教育部,Ministry of Education
接收,receive
揭,Uncover
街头,street
节,Section
节假日,Holidays
节能,Energy saving
截止,Cut off
解,solution
解说,Commentary
界,World
界,World
金额,Amount
金钱,money
尽,Exhausted
近日,recently
近视,myopia
惊人,amazing
惊喜,Surprise
精,fine
精美,fine
精品,Boutique
景,view
景点,Attractions
净,net
酒水,Drinks
救命,Help
救援,Rescue
救助,Rescue
就是说,that is
就算,Even if
局,Bureau
剧,drama
据,according to
捐款,Donate
捐赠,Donate
捐助,Donate
绝,Absolutely
绝大多数,Overwhelming majority
军舰,warship
开创,Create
开关,switch
开设,open
开通,Open
开头,beginning
开夜车,Drive at night
看,Look
看管,Watch over
看得见,visible
看得起,Worthy of
看好,Optimistic about
看作,See
康复,Recovery
抗议,protest
考场,examination room
考题,Exam questions
科研,research
客车,bus
肯,Ken
空军,air force
口试,oral
扣,buckle
酷,Cool
快车,express train
宽阔,wide
矿,mine
阔,wide
来往,Contact
赖,rely
蓝领,Blue collar
蓝天,Blue sky
牢,prison
老乡,Fellow
冷气,Air conditioner
冷水,cold water
礼堂,hall
理,Reason
理财,Financial management
力,force
利,Profit
联赛,League
联手,Join hands
凉鞋,sandals
两侧,Both sides
两手,Two hands
聊,chat
聊天儿,Chat
料,material
料,material
裂,crack
领取,receive
另,another
留言,leave a message
流感,influenza
楼道,corridor
楼房,Building
露,dew
陆军,army
录像,Video
录音机,recorder
路过,Passing by
露,dew
旅店,Inn
绿化,Greening
马车,carriage
埋,Buried
慢车,local
盲人,blind
梅花,Plum blossom
美容,Beauty
蒙,Mongolian
蒙,Mongolian
猛,fierce
棉,cotton
面对面,Face to face
面向,Face to
妙,wonderful
灭,Extinguish
民歌,folk song
民工,Migrant workers
民警,Police
民意,public opinion
民主,democracy
名胜,Place of interest
名义,name
明日,tomorrow
命,Life
磨,mill
没收,Confiscate
墨水,ink
母,mother
母鸡,hen
母女,Mother and daughter
母子,Mother and child
墓,tomb
拿走,Take away
奶粉,milk powder
奶牛,Cows
难忘,memorable
内地,Mainland
内外,inside and outside
内衣,underwear
能否,Can
泥,mud
扭,Twist
排行榜,Leaderboard
派出,send
判,Judge
泡,bubble
炮,gun
陪同,Accompany
配置,Configuration
皮球,Ball
偏,Partial
品牌,Brand
聘请,hire
平方米,Square meter
平台,platform
评,Comment
评选,Selection
屏幕,screen
企图,attempt
起点,starting point
起诉,Prosecute
恰好,exactly
恰恰,precisely
牵,Lead
铅笔,pencil
前方,Ahead
前来,Come
强盗,robber
强化,strengthen
强势,Strong
强壮,strong
茄子,eggplant
亲属,relatives
亲眼,With your own eyes
清,clear
清洁工,Cleaner
清明节,Ching Ming Festival
清洗,Cleaning
求职,Job hunting
球拍,racket
球星,Star
球员,Player
取款,Withdrawal
取款机,ATM
去掉,Get rid of
权,right
全力,Full force
全新,brand new
券,Coupon
却是,but it is
让座,Give up
热点,Hot spot
热水,Hot water
热水器,Water heater
热线,hotline
人权,human rights
认同,Identify with
日夜,day and night
日语,Japanese
融合,Fusion
融入,assimilate into
如,Such as
如一,As one
乳制品,Dairy products
入,Enter
入学,Admission
若,If
塞,Stop
赛,Match
赛场,Arena
三明治,sandwich
山峰,mountain peak
山谷,valley
山坡,hillside
伤口,wound
伤亡,casualties
伤员,Wounded
商城,Mall
上帝,God
上市,Listed
上台,On stage
上演,Staged
勺,Spoon
少儿,Children
舌头,tongue
设计师,Designer
深化,deepen
深深,deeply
升级,upgrade
升学,Go to school
升值,appreciation
生活费,living expenses
省钱,save money
圣诞节,Christmas
师父,Master
师生,Teachers and students
时节,season
时时,From time to time
时装,Fashion
识,knowledge
识字,Literacy
食欲,appetite
市民,Citizen
事后,afterwards
试点,Pilot
适当,appropriate
收取,Charge
收养,adoption
手续费,Handling fee
首,first
首次,first
首脑,summit
首席,chief
首相,prime minister
书房,study
薯片,Potato chips
薯条,French fries
双打,Doubles
爽,Cool
顺,Shun
说明书,Manual
说实话,to be honest
司长,Director
四处,around
寺,Temple
送礼,Present
送行,See off
算了,Forget it
算是,Be regarded as
虽,although
岁数,age
塔,tower
踏,tread
台灯,table lamp
太阳能,Solar energy
趟,trip
特,special
特大,Extra large
特地,specially
特快,express
特意,specially
疼痛,pain
踢,kick
提交,submit
提升,Promote
天然,natural
天下,World
添,add
田,field
跳水,diving
听取,listen to
通报,Announce
通道,aisle
通红,Flush
通话,call
通行,Pass
通讯,communication
同,with
同行,Accompany
同期,The same period
同一,same
铜牌,bronze medal
头疼,headache
透露,disclose
图书,books
土,earth
团队,team
推出,roll out
退票,Refund
吞,swallow
托,Entrust
拖,drag
拖鞋,flip flop
挖,dig
外币,foreign currency
外部,external
外出,Go out
外观,Exterior
外科,surgical
外来,foreign
外头,Outside
外衣,coat
外资,foreign investment
弯曲,bending
顽皮,naughty
王后,queen
网吧,Internet cafe
网页,Web page
往后,later
往来,contacts
往年,in previous years
望见,See
微波炉,Microwave oven
为此,to this end
为何,Why
文娱,Entertainment
卧铺,Sleeper
乌云,dark clouds
无边,Boundless
无关,Irrelevant
无效,invalid
物品,article
误,error
西班牙语,Spanish
吸毒,drug
洗衣粉,washing powder
戏曲,drama
先锋,pioneer
显出,Show up
险,risk
线路,line
响声,sound
想不到,Unexpected
消灭,wipe out
小费,tip
小于,Less than
晓得,know
笑脸,Smiley
笑容,Smile
笑声,laughter
协调,coordination
写字楼,Office building
写字台,desk
心愿,wish
心脏病,heart disease
新人,Newcomer
新兴,new
信用,credit
行程,stroke
形,shape
凶,fierce
修车,Car repair
袖珍,pocket
悬,Hang
选举,election
学会,learn
学员,Trainee
血管,Blood vessel
血液,blood
烟花,Fireworks
沿,along
沿着,Along
研发,R &amp; D
眼看,See
洋,foreign
仰,Up
养老,Pension
样,kind
药品,drug
要不然,otherwise
要好,Better
要么,Either
野,wild
野生,wild
医药,medicine
依次,In turn
一次性,One time
一代,generation
一道,Together
一路上,Along the way
一番,Some
一模一样,Exactly the same
一齐,All together
一时,For a while
一同,together
一行,One line
艺人,artist
议题,issue
意想不到,unexpected
意愿,Will
因,because
阴影,shadow
音量,volume
音像,Audiovisual
隐藏,hide
印,Seal
迎来,Usher in
影迷,Fans
影星,Movie star
应对,response
应急,Emergency
用处,usefulness
用得着,Useful
用法,usage
用品,Supplies
用心,Attentively
优质,high quality
游人,Tourist
游玩,play
游戏机,Game console
游行,procession
有关,related
有没有,Do you have
有事,Something
于,in
与,versus
宇航员,astronaut
雨衣,raincoat
预约,reservation
园,garden
园地,Garden
原,original
圆珠笔,Ballpoint pen
援助,assistance
缘故,reason
远方,distance
远离,keep away
远远,Far away
约定,Agreement
乐曲,Music
运作,Operation
晕车,Motion sickness
杂,miscellaneous
再生,regeneration
再说,Say again
遭到,Suffered
早晚,Sooner or later
增进,enhance
增值,Value-added
炸,Fried
炸弹,bomb
炸药,Explosive
债,debt
战场,battlefield
战友,Comrades-in-arms
站台,Platform
章,chapter
掌声,applause
账,Account
招,trick
这就是说,This means that
镇,town
整治,Rectify
政策,policy
政党,political party
之类,such as
知名,famous
织,Weave
直升机,Helicopter
职责,Duty
止,only
只得,Had to
只顾,Just take care of
只管,Just mind
指数,index
指头,Finger
指着,Pointing
治病,Cure
中等,medium
中华,China
中期,Mid-term
中外,Chinese and foreign
忠心,loyalty
钟头,hour
肿,swollen
种种,All kinds of
珠宝,Jewelry
主持人,host
主角,protagonist
驻,Resident
柱子,pillar
祝愿,wish
专用,dedicated
转,turn
转动,Rotate
赚钱,Make money
捉,catch
自来水,Tap water
自我,self
自学,Self-study
自言自语,Talking to oneself
自在,comfortable
宗教,religion
总部,Headquarters
总监,Director
总经理,General manager
总量,Total
奏,Play
租金,rent
足,foot
族,Clan
族,Clan
祖国,motherland
祖母,grandmother
钻,Drill
最佳,optimal
最终,finally
罪,crime
罪恶,sin
作,Make
作战,Combat
座谈会,forum
