爱人,Lover
笑话儿,Joke
鞋,shoe
心里,In the heart
心中,In mind
信,letter
信息,information
信用卡,credit card
星星,star
姓名,Name
休假,Vacation
选,selected
学期,semester
眼,eye
养,support
药店,pharmacy
药片,pill
药水,Potion
夜里,at night
一部分,Part of
一路平安,Safe journey
一路顺风,Bon Voyage
以后,after
以上,the above
以外,outside
以为,think
以下,the following
一点点,a little bit
一生,lifetime
亿,Billion
阴天,cloudy day
音节,syllable
音乐会,concert
银行卡,Bank card
英文,English
英语,English
影片,film
油,oil
游客,Tourist
有空儿,available
有人,Someone
有意思,interesting
院,hospital
院长,Dean
院子,courtyard
月份,month
越来越,More and more
云,cloud
咱,we
脏,dirty
早餐,breakfast
早晨,in the morning
早就,Long ago
怎么办,How to do
怎样,how
占,Take up
站住,stop
长大,grow up
找出,Find out
照相,Photograph
这么,so
这时候,At this moment
这样,such
正是,Exactly
只能,Can only
纸,paper
中餐,Chinese food
中级,intermediate
中年,middle aged
中小学,Elementary and middle school
中医,Chinese Medicine
周,week
住房,housing
住院,Be hospitalized
自行车,bicycle
字典,dictionary
走过,Walk through
走进,Walk in
走开,Go away
组,group
组成,composition
组长,Group leader
嘴,mouth
作家,writer
作用,effect
做到,Do it
做法,practice
做饭,Cook
,
