hanzi,translation,pinyin,location
大街,Main street,dàjiē,audios/dàjiē.mp3
大力,vigorously,dàlì,audios/dàlì.mp3
大米,Rice,dàmǐ,audios/dàmǐ.mp3
大批,A large number,dàpī,audios/dàpī.mp3
大赛,Contest,dàsài,audios/dàsài.mp3
大师,Grandmaster,dàshī,audios/dàshī.mp3
大使,ambassador,dàshǐ,audios/dàshǐ.mp3
待会儿,Later,dàihuìer,audios/dàihuìer.mp3
担忧,Worries,dānyōu,audios/dānyōu.mp3
单打,singles,dāndǎ,audios/dāndǎ.mp3
当成,Treat as,dàngchéng,audios/dàngchéng.mp3
当天,That day,dàngtiān,audios/dàngtiān.mp3
当作,Treat as,dàngzuò,audios/dàngzuò.mp3
档,files,dàng,audios/dàng.mp3
岛,island,dǎo,audios/dǎo.mp3
到期,maturity,dàoqī,audios/dàoqī.mp3
盗版,Piracy,dàobǎn,audios/dàobǎn.mp3
道教,Taoism,dàojiào,audios/dàojiào.mp3
低头,Head down,dītóu,audios/dītóu.mp3
低温,Low temperature,dīwēn,audios/dīwēn.mp3
地板,floor,dìbǎn,audios/dìbǎn.mp3
地名,Place name,dìmíng,audios/dìmíng.mp3
地下室,basement,dìxiàshì,audios/dìxiàshì.mp3
电车,tram,diànchē,audios/diànchē.mp3
电动,electric,diàndòng,audios/diàndòng.mp3
电力,electricity,diànlì,audios/diànlì.mp3
电器,Electrical appliances,diànqì,audios/diànqì.mp3
调研,Research,diàoyán,audios/diàoyán.mp3
定价,Pricing,dìngjià,audios/dìngjià.mp3
定时,timing,dìngshí,audios/dìngshí.mp3
定位,Positioning,dìngwèi,audios/dìngwèi.mp3
动画,Animation,dònghuà,audios/dònghuà.mp3
都市,city,dūshì,audios/dūshì.mp3
赌,bet,dǔ,audios/dǔ.mp3
渡,Crossing,dù,audios/dù.mp3
短片,Short film,duǎnpiàn,audios/duǎnpiàn.mp3
对外,foreign,duìwài,audios/duìwài.mp3
多半,most,duōbàn,audios/duōbàn.mp3
多方面,Many aspects,duōfāngmiàn,audios/duōfāngmiàn.mp3
多媒体,multimedia,duōméitǐ,audios/duōméitǐ.mp3
夺,Seize,duó,audios/duó.mp3
夺取,Seize,duóqǔ,audios/duóqǔ.mp3
恩人,benefactor,ēnrén,audios/ēnrén.mp3
儿科,Pediatrics,érkē,audios/érkē.mp3
发病,Onset,fābìng,audios/fābìng.mp3
发电,Power generation,fādiàn,audios/fādiàn.mp3
发放,Issue,fāfàng,audios/fāfàng.mp3
发怒,Get angry,fānù,audios/fānù.mp3
发起,Initiate,fāqǐ,audios/fāqǐ.mp3
发言人,spokesman,fāyánrén,audios/fāyánrén.mp3
法庭,court,fǎtíng,audios/fǎtíng.mp3
法语,French,fǎyǔ,audios/fǎyǔ.mp3
番茄,tomato,fānqié,audios/fānqié.mp3
凡是,all,fánshì,audios/fánshì.mp3
反响,repercussions,fǎnxiǎng,audios/fǎnxiǎng.mp3
犯,Commit,fàn,audios/fàn.mp3
犯规,foul,fànguī,audios/fànguī.mp3
犯罪,crime,fànzuì,audios/fànzuì.mp3
防范,Guard against,fángfàn,audios/fángfàn.mp3
房价,House price,fángjià,audios/fángjià.mp3
飞船,spaceship,fēichuán,audios/fēichuán.mp3
飞行员,pilot,fēixíngyuán,audios/fēixíngyuán.mp3
肺,lung,fèi,audios/fèi.mp3
分工,Division of labor,fēngōng,audios/fēngōng.mp3
愤怒,anger,fènnù,audios/fènnù.mp3
峰会,Summit,fēnghuì,audios/fēnghuì.mp3
佛,Buddha,fú,audios/fú.mp3
佛教,Buddhism,fójiào,audios/fójiào.mp3
服,clothes,fú,audios/fú.mp3
浮,float,fú,audios/fú.mp3
父女,Father and daughter,fùnǚ,audios/fùnǚ.mp3
父子,Father and son,fùzǐ,audios/fùzǐ.mp3
负,negative,fù,audios/fù.mp3
复苏,recovery,fùsū,audios/fùsū.mp3
富人,The rich,fùrén,audios/fùrén.mp3
富有,rich,fùyǒu,audios/fùyǒu.mp3
改装,Refit,gǎizhuāng,audios/gǎizhuāng.mp3
肝,liver,gān,audios/gān.mp3
杆,Rod,gān,audios/gān.mp3
赶不上,Can&#39;t keep up,gǎnbùshàng,audios/gǎnbùshàng.mp3
赶忙,quickly,gǎnmáng,audios/gǎnmáng.mp3
赶上,catch up,gǎnshàng,audios/gǎnshàng.mp3
敢于,Dare to,gǎnyú,audios/gǎnyú.mp3
感人,Touching,gǎnrén,audios/gǎnrén.mp3
刚好,just,gānghǎo,audios/gānghǎo.mp3
高层,High-level,gāocéng,audios/gāocéng.mp3
高等,higher,gāoděng,audios/gāoděng.mp3
高考,College entrance examination,gāokǎo,audios/gāokǎo.mp3
高科技,high tech,gāokējì,audios/gāokējì.mp3
高手,Master,gāoshǒu,audios/gāoshǒu.mp3
稿子,Manuscript,gǎozi,audios/gǎozi.mp3
歌唱,singing,gēchàng,audios/gēchàng.mp3
歌词,lyrics,gēcí,audios/gēcí.mp3
歌星,Singer,gēxīng,audios/gēxīng.mp3
革新,innovation,géxīn,audios/géxīn.mp3
更是,even more,gèngshì,audios/gèngshì.mp3
工商,Business,gōngshāng,audios/gōngshāng.mp3
公,public,gōng,audios/gōng.mp3
公安,public security,gōngān,audios/gōngān.mp3
公鸡,cock,gōngjī,audios/gōngjī.mp3
公众,public,gōngzhòng,audios/gōngzhòng.mp3
宫,palace,gōng,audios/gōng.mp3
构建,Construct,gòujiàn,audios/gòujiàn.mp3
孤儿,orphan,gūér,audios/gūér.mp3
股,share,gǔ,audios/gǔ.mp3
顾,Gu,gù,audios/gù.mp3
刮,scratch,guā,audios/guā.mp3
拐,Abduction,guǎi,audios/guǎi.mp3
关爱,Caring,guānài,audios/guānài.mp3
关联,Associate,guānlián,audios/guānlián.mp3
官司,lawsuit,guānsī,audios/guānsī.mp3
管道,pipeline,guǎndào,audios/guǎndào.mp3
国产,Domestic,guóchǎn,audios/guóchǎn.mp3
国歌,National anthem,guógē,audios/guógē.mp3
国会,Congress,guóhuì,audios/guóhuì.mp3
国旗,National flag,guóqí,audios/guóqí.mp3
国王,king,guówáng,audios/guówáng.mp3
果酱,jam,guǒjiàng,audios/guǒjiàng.mp3
果树,Fruit tree,guǒshù,audios/guǒshù.mp3
过后,After,guòhòu,audios/guòhòu.mp3
过时,Obsolete,guòshí,audios/guòshí.mp3
海报,poster,hǎibào,audios/hǎibào.mp3
海底,seabed,hǎidǐ,audios/hǎidǐ.mp3
海军,navy,hǎijūn,audios/hǎijūn.mp3
海浪,Waves,hǎilàng,audios/hǎilàng.mp3
海外,overseas,hǎiwài,audios/hǎiwài.mp3
海湾,bay,hǎiwān,audios/hǎiwān.mp3
好似,Like,hǎosì,audios/hǎosì.mp3
好转,Get better,hǎozhuǎn,audios/hǎozhuǎn.mp3
好学,Studious,hàoxué,audios/hàoxué.mp3
合约,contract,héyuē,audios/héyuē.mp3
黑夜,Night,hēiyè,audios/hēiyè.mp3
很难说,Hard to say,hěnnánshuō,audios/hěnnánshuō.mp3
狠,ruthless,hěn,audios/hěn.mp3
横,horizontal,héng,audios/héng.mp3
衡量,measure,héngliáng,audios/héngliáng.mp3
宏大,grand,hóngdà,audios/hóngdà.mp3
互动,interactive,hùdòng,audios/hùdòng.mp3
户外,outdoor,hùwài,audios/hùwài.mp3
护,Protect,hù,audios/hù.mp3
花费,spend,huāfèi,audios/huāfèi.mp3
花瓶,vase,huāpíng,audios/huāpíng.mp3
化解,Resolve,huàjiě,audios/huàjiě.mp3
皇帝,emperor,huángdì,audios/huángdì.mp3
回应,Respond to,huíyìng,audios/huíyìng.mp3
毁,destroy,huǐ,audios/huǐ.mp3
会见,meet,huìjiàn,audios/huìjiàn.mp3
会长,President,huìzhǎng,audios/huìzhǎng.mp3
绘画,painting,huìhuà,audios/huìhuà.mp3
昏,faint,hūn,audios/hūn.mp3
混,mix,hùn,audios/hùn.mp3
机动车,Motor vehicle,jīdòngchē,audios/jīdòngchē.mp3
机关,organ,jīguān,audios/jīguān.mp3
基督教,Christian,jīdūjiào,audios/jīdūjiào.mp3
吉利,auspicious,jílì,audios/jílì.mp3
急救,first aid,jíjiù,audios/jíjiù.mp3
集,set,jí,audios/jí.mp3
加盟,Join,jiāméng,audios/jiāméng.mp3
家电,Home appliances,jiādiàn,audios/jiādiàn.mp3
家园,home,jiāyuán,audios/jiāyuán.mp3
假日,holiday,jiàrì,audios/jiàrì.mp3
尖,tip,jiān,audios/jiān.mp3
监测,monitor,jiāncè,audios/jiāncè.mp3
简介,Introduction,jiǎnjiè,audios/jiǎnjiè.mp3
剑,sword,jiàn,audios/jiàn.mp3
箭,arrow,jiàn,audios/jiàn.mp3
讲课,lecture,jiǎngkè,audios/jiǎngkè.mp3
酱,sauce,jiàng,audios/jiàng.mp3
脚印,footprint,jiǎoyìn,audios/jiǎoyìn.mp3
觉,feel,jué,audios/jué.mp3
教堂,church,jiàotáng,audios/jiàotáng.mp3
教育部,Ministry of Education,jiàoyùbù,audios/jiàoyùbù.mp3
接收,receive,jiēshōu,audios/jiēshōu.mp3
揭,Uncover,jiē,audios/jiē.mp3
街头,street,jiētóu,audios/jiētóu.mp3
节,Section,jié,audios/jié.mp3
节假日,Holidays,jiéjiàrì,audios/jiéjiàrì.mp3
节能,Energy saving,jiénéng,audios/jiénéng.mp3
截止,Cut off,jiézhǐ,audios/jiézhǐ.mp3
解,solution,jiě,audios/jiě.mp3
解说,Commentary,jiěshuō,audios/jiěshuō.mp3
界,World,jiè,audios/jiè.mp3
界,World,jiè,audios/jiè.mp3
金额,Amount,jīné,audios/jīné.mp3
金钱,money,jīnqián,audios/jīnqián.mp3
尽,Exhausted,jǐn,audios/jǐn.mp3
近日,recently,jìnrì,audios/jìnrì.mp3
近视,myopia,jìnshì,audios/jìnshì.mp3
惊人,amazing,jīngrén,audios/jīngrén.mp3
惊喜,Surprise,jīngxǐ,audios/jīngxǐ.mp3
精,fine,jīng,audios/jīng.mp3
精美,fine,jīngměi,audios/jīngměi.mp3
精品,Boutique,jīngpǐn,audios/jīngpǐn.mp3
景,view,jǐng,audios/jǐng.mp3
景点,Attractions,jǐngdiǎn,audios/jǐngdiǎn.mp3
净,net,jìng,audios/jìng.mp3
酒水,Drinks,jiǔshuǐ,audios/jiǔshuǐ.mp3
救命,Help,jiùmìng,audios/jiùmìng.mp3
救援,Rescue,jiùyuán,audios/jiùyuán.mp3
救助,Rescue,jiùzhù,audios/jiùzhù.mp3
就是说,that is,jiùshìshuō,audios/jiùshìshuō.mp3
就算,Even if,jiùsuàn,audios/jiùsuàn.mp3
局,Bureau,jú,audios/jú.mp3
剧,drama,jù,audios/jù.mp3
据,according to,jù,audios/jù.mp3
捐款,Donate,juānkuǎn,audios/juānkuǎn.mp3
捐赠,Donate,juānzèng,audios/juānzèng.mp3
捐助,Donate,juānzhù,audios/juānzhù.mp3
绝,Absolutely,jué,audios/jué.mp3
绝大多数,Overwhelming majority,juédàduōshù,audios/juédàduōshù.mp3
军舰,warship,jūnjiàn,audios/jūnjiàn.mp3
开创,Create,kāichuàng,audios/kāichuàng.mp3
开关,switch,kāiguān,audios/kāiguān.mp3
开设,open,kāishè,audios/kāishè.mp3
开通,Open,kāitōng,audios/kāitōng.mp3
开头,beginning,kāitóu,audios/kāitóu.mp3
开夜车,Drive at night,kāiyèchē,audios/kāiyèchē.mp3
看,Look,kàn,audios/kàn.mp3
看管,Watch over,kānguǎn,audios/kānguǎn.mp3
看得见,visible,kàndéjiàn,audios/kàndéjiàn.mp3
看得起,Worthy of,kàndeqǐ,audios/kàndeqǐ.mp3
看好,Optimistic about,kànhǎo,audios/kànhǎo.mp3
看作,See,kànzuò,audios/kànzuò.mp3
康复,Recovery,kāngfù,audios/kāngfù.mp3
抗议,protest,kàngyì,audios/kàngyì.mp3
考场,examination room,kǎochǎng,audios/kǎochǎng.mp3
考题,Exam questions,kǎotí,audios/kǎotí.mp3
科研,research,kēyán,audios/kēyán.mp3
客车,bus,kèchē,audios/kèchē.mp3
肯,Ken,kěn,audios/kěn.mp3
空军,air force,kōngjūn,audios/kōngjūn.mp3
口试,oral,kǒushì,audios/kǒushì.mp3
扣,buckle,kòu,audios/kòu.mp3
酷,Cool,kù,audios/kù.mp3
快车,express train,kuàichē,audios/kuàichē.mp3
宽阔,wide,kuānkuò,audios/kuānkuò.mp3
矿,mine,kuàng,audios/kuàng.mp3
阔,wide,kuò,audios/kuò.mp3
来往,Contact,láiwǎng,audios/láiwǎng.mp3
赖,rely,lài,audios/lài.mp3
蓝领,Blue collar,lánlǐng,audios/lánlǐng.mp3
蓝天,Blue sky,lántiān,audios/lántiān.mp3
牢,prison,láo,audios/láo.mp3
老乡,Fellow,lǎoxiāng,audios/lǎoxiāng.mp3
冷气,Air conditioner,lěngqì,audios/lěngqì.mp3
冷水,cold water,lěngshuǐ,audios/lěngshuǐ.mp3
礼堂,hall,lǐtáng,audios/lǐtáng.mp3
理,Reason,lǐ,audios/lǐ.mp3
理财,Financial management,lǐcái,audios/lǐcái.mp3
力,force,lì,audios/lì.mp3
利,Profit,lì,audios/lì.mp3
联赛,League,liánsài,audios/liánsài.mp3
联手,Join hands,liánshǒu,audios/liánshǒu.mp3
凉鞋,sandals,liángxié,audios/liángxié.mp3
两侧,Both sides,liǎngcè,audios/liǎngcè.mp3
两手,Two hands,liǎngshǒu,audios/liǎngshǒu.mp3
聊,chat,liáo,audios/liáo.mp3
聊天儿,Chat,liáotiānér,audios/liáotiānér.mp3
料,material,liào,audios/liào.mp3
料,material,liào,audios/liào.mp3
裂,crack,liè,audios/liè.mp3
领取,receive,lǐngqǔ,audios/lǐngqǔ.mp3
另,another,lìng,audios/lìng.mp3
留言,leave a message,liúyán,audios/liúyán.mp3
流感,influenza,liúgǎn,audios/liúgǎn.mp3
楼道,corridor,lóudào,audios/lóudào.mp3
楼房,Building,lóufáng,audios/lóufáng.mp3
露,dew,lù,audios/lù.mp3
陆军,army,lùjūn,audios/lùjūn.mp3
录像,Video,lùxiàng,audios/lùxiàng.mp3
录音机,recorder,lùyīnjī,audios/lùyīnjī.mp3
路过,Passing by,lùguò,audios/lùguò.mp3
露,dew,lù,audios/lù.mp3
旅店,Inn,lǚdiàn,audios/lǚdiàn.mp3
绿化,Greening,lǜhuà,audios/lǜhuà.mp3
马车,carriage,mǎchē,audios/mǎchē.mp3
埋,Buried,mái,audios/mái.mp3
慢车,local,mànchē,audios/mànchē.mp3
盲人,blind,mángrén,audios/mángrén.mp3
梅花,Plum blossom,méihuā,audios/méihuā.mp3
美容,Beauty,měiróng,audios/měiróng.mp3
蒙,Mongolian,méng,audios/méng.mp3
蒙,Mongolian,méng,audios/méng.mp3
猛,fierce,měng,audios/měng.mp3
棉,cotton,mián,audios/mián.mp3
面对面,Face to face,miànduìmiàn,audios/miànduìmiàn.mp3
面向,Face to,miànxiàng,audios/miànxiàng.mp3
妙,wonderful,miào,audios/miào.mp3
灭,Extinguish,miè,audios/miè.mp3
民歌,folk song,míngē,audios/míngē.mp3
民工,Migrant workers,míngōng,audios/míngōng.mp3
民警,Police,mínjǐng,audios/mínjǐng.mp3
民意,public opinion,mínyì,audios/mínyì.mp3
民主,democracy,mínzhǔ,audios/mínzhǔ.mp3
名胜,Place of interest,míngshèng,audios/míngshèng.mp3
名义,name,míngyì,audios/míngyì.mp3
明日,tomorrow,míngrì,audios/míngrì.mp3
命,Life,mìng,audios/mìng.mp3
磨,mill,mó,audios/mó.mp3
没收,Confiscate,mòshōu,audios/mòshōu.mp3
墨水,ink,mòshuǐ,audios/mòshuǐ.mp3
母,mother,mǔ,audios/mǔ.mp3
母鸡,hen,mǔjī,audios/mǔjī.mp3
母女,Mother and daughter,mǔnǚ,audios/mǔnǚ.mp3
母子,Mother and child,mǔzi,audios/mǔzi.mp3
墓,tomb,mù,audios/mù.mp3
拿走,Take away,názǒu,audios/názǒu.mp3
奶粉,milk powder,nǎifěn,audios/nǎifěn.mp3
奶牛,Cows,nǎiniú,audios/nǎiniú.mp3
难忘,memorable,nánwàng,audios/nánwàng.mp3
内地,Mainland,nèidì,audios/nèidì.mp3
内外,inside and outside,nèiwài,audios/nèiwài.mp3
内衣,underwear,nèiyī,audios/nèiyī.mp3
能否,Can,néngfǒu,audios/néngfǒu.mp3
泥,mud,ní,audios/ní.mp3
扭,Twist,niǔ,audios/niǔ.mp3
排行榜,Leaderboard,páihángbǎng,audios/páihángbǎng.mp3
派出,send,pàichū,audios/pàichū.mp3
判,Judge,pàn,audios/pàn.mp3
泡,bubble,pào,audios/pào.mp3
炮,gun,pào,audios/pào.mp3
陪同,Accompany,péitóng,audios/péitóng.mp3
配置,Configuration,pèizhì,audios/pèizhì.mp3
皮球,Ball,píqiú,audios/píqiú.mp3
偏,Partial,piān,audios/piān.mp3
品牌,Brand,pǐnpái,audios/pǐnpái.mp3
聘请,hire,pìnqǐng,audios/pìnqǐng.mp3
平方米,Square meter,píngfāngmǐ,audios/píngfāngmǐ.mp3
平台,platform,píngtái,audios/píngtái.mp3
评,Comment,píng,audios/píng.mp3
评选,Selection,píngxuǎn,audios/píngxuǎn.mp3
屏幕,screen,píngmù,audios/píngmù.mp3
企图,attempt,qǐtú,audios/qǐtú.mp3
起点,starting point,qǐdiǎn,audios/qǐdiǎn.mp3
起诉,Prosecute,qǐsù,audios/qǐsù.mp3
恰好,exactly,qiàhǎo,audios/qiàhǎo.mp3
恰恰,precisely,qiàqià,audios/qiàqià.mp3
牵,Lead,qiān,audios/qiān.mp3
铅笔,pencil,qiānbǐ,audios/qiānbǐ.mp3
前方,Ahead,qiánfāng,audios/qiánfāng.mp3
前来,Come,qiánlái,audios/qiánlái.mp3
强盗,robber,qiángdào,audios/qiángdào.mp3
强化,strengthen,qiánghuà,audios/qiánghuà.mp3
强势,Strong,qiángshì,audios/qiángshì.mp3
强壮,strong,qiángzhuàng,audios/qiángzhuàng.mp3
茄子,eggplant,qiézi,audios/qiézi.mp3
亲属,relatives,qīnshǔ,audios/qīnshǔ.mp3
亲眼,With your own eyes,qīnyǎn,audios/qīnyǎn.mp3
清,clear,qīng,audios/qīng.mp3
清洁工,Cleaner,qīngjiégōng,audios/qīngjiégōng.mp3
清明节,Ching Ming Festival,qīngmíngjié,audios/qīngmíngjié.mp3
清洗,Cleaning,qīngxǐ,audios/qīngxǐ.mp3
求职,Job hunting,qiúzhí,audios/qiúzhí.mp3
球拍,racket,qiúpāi,audios/qiúpāi.mp3
球星,Star,qiúxīng,audios/qiúxīng.mp3
球员,Player,qiúyuán,audios/qiúyuán.mp3
取款,Withdrawal,qǔkuǎn,audios/qǔkuǎn.mp3
取款机,ATM,qǔkuǎnjī,audios/qǔkuǎnjī.mp3
去掉,Get rid of,qùdiào,audios/qùdiào.mp3
权,right,quán,audios/quán.mp3
全力,Full force,quánlì,audios/quánlì.mp3
全新,brand new,quánxīn,audios/quánxīn.mp3
券,Coupon,quàn,audios/quàn.mp3
却是,but it is,quèshì,audios/quèshì.mp3
让座,Give up,ràngzuò,audios/ràngzuò.mp3
热点,Hot spot,rèdiǎn,audios/rèdiǎn.mp3
热水,Hot water,rèshuǐ,audios/rèshuǐ.mp3
热水器,Water heater,rèshuǐqì,audios/rèshuǐqì.mp3
热线,hotline,rèxiàn,audios/rèxiàn.mp3
人权,human rights,rénquán,audios/rénquán.mp3
认同,Identify with,rèntóng,audios/rèntóng.mp3
日夜,day and night,rìyè,audios/rìyè.mp3
日语,Japanese,rìyǔ,audios/rìyǔ.mp3
融合,Fusion,rónghé,audios/rónghé.mp3
融入,assimilate into,róngrù,audios/róngrù.mp3
如,Such as,rú,audios/rú.mp3
如一,As one,rúyī,audios/rúyī.mp3
乳制品,Dairy products,rǔzhìpǐn,audios/rǔzhìpǐn.mp3
入,Enter,rù,audios/rù.mp3
入学,Admission,rùxué,audios/rùxué.mp3
若,If,ruò,audios/ruò.mp3
塞,Stop,sāi,audios/sāi.mp3
赛,Match,sài,audios/sài.mp3
赛场,Arena,sàichǎng,audios/sàichǎng.mp3
三明治,sandwich,sānmíngzhì,audios/sānmíngzhì.mp3
山峰,mountain peak,shānfēng,audios/shānfēng.mp3
