hanzi,translation,pinyin,location,audio
带有,With,dàiyǒu,audios/dàiyǒu.mp3,[sound:dàiyǒu.mp3]
单一,single,dānyī,audios/dānyī.mp3,[sound:dānyī.mp3]
胆,Guts,dǎn,audios/dǎn.mp3,[sound:dǎn.mp3]
胆小,timid,dǎnxiǎo,audios/dǎnxiǎo.mp3,[sound:dǎnxiǎo.mp3]
当代,Contemporary,dāngdài,audios/dāngdài.mp3,[sound:dāngdài.mp3]
当年,then,dāngnián,audios/dāngnián.mp3,[sound:dāngnián.mp3]
到来,arrival,dàolái,audios/dàolái.mp3,[sound:dàolái.mp3]
倒是,But,dǎoshì,audios/dǎoshì.mp3,[sound:dǎoshì.mp3]
得了,Got it,déle,audios/déle.mp3,[sound:déle.mp3]
得以,Be able to,déyǐ,audios/déyǐ.mp3,[sound:déyǐ.mp3]
等候,waiting,děnghòu,audios/děnghòu.mp3,[sound:děnghòu.mp3]
低于,Below,dīyú,audios/dīyú.mp3,[sound:dīyú.mp3]
地带,zone,dìdài,audios/dìdài.mp3,[sound:dìdài.mp3]
地形,terrain,dìxíng,audios/dìxíng.mp3,[sound:dìxíng.mp3]
递给,Hand it to,dìgěi,audios/dìgěi.mp3,[sound:dìgěi.mp3]
点燃,ignite,diǎnrán,audios/diǎnrán.mp3,[sound:diǎnrán.mp3]
电饭锅,Rice cooker,diànfànguō,audios/diànfànguō.mp3,[sound:diànfànguō.mp3]
电子版,e-edition,diànzibǎn,audios/diànzibǎn.mp3,[sound:diànzibǎn.mp3]
豆制品,Soy products,dòuzhìpǐn,audios/dòuzhìpǐn.mp3,[sound:dòuzhìpǐn.mp3]
毒,poison,dú,audios/dú.mp3,[sound:dú.mp3]
朵,Do,duǒ,audios/duǒ.mp3,[sound:duǒ.mp3]
躲,hide,duǒ,audios/duǒ.mp3,[sound:duǒ.mp3]
儿女,Children,érnǚ,audios/érnǚ.mp3,[sound:érnǚ.mp3]
二维码,QR code,èrwéimǎ,audios/èrwéimǎ.mp3,[sound:èrwéimǎ.mp3]
罚,Punish,fá,audios/fá.mp3,[sound:fá.mp3]
法规,Regulations,fǎguī,audios/fǎguī.mp3,[sound:fǎguī.mp3]
法制,legal system,fǎzhì,audios/fǎzhì.mp3,[sound:fǎzhì.mp3]
返回,return,fǎnhuí,audios/fǎnhuí.mp3,[sound:fǎnhuí.mp3]
分成,Divided into,fēnchéng,audios/fēnchéng.mp3,[sound:fēnchéng.mp3]
分类,classification,fēnlèi,audios/fēnlèi.mp3,[sound:fēnlèi.mp3]
分离,Separate,fēnlí,audios/fēnlí.mp3,[sound:fēnlí.mp3]
分享,share it,fēnxiǎng,audios/fēnxiǎng.mp3,[sound:fēnxiǎng.mp3]
封,seal,fēng,audios/fēng.mp3,[sound:fēng.mp3]
疯,Crazy,fēng,audios/fēng.mp3,[sound:fēng.mp3]
服从,obey,fúcóng,audios/fúcóng.mp3,[sound:fúcóng.mp3]
负责人,principal,fùzérén,audios/fùzérén.mp3,[sound:fùzérén.mp3]
钢笔,pen,gāngbǐ,audios/gāngbǐ.mp3,[sound:gāngbǐ.mp3]
钢琴,piano,gāngqín,audios/gāngqín.mp3,[sound:gāngqín.mp3]
高大,tall,gāodà,audios/gāodà.mp3,[sound:gāodà.mp3]
高度,height,gāodù,audios/gāodù.mp3,[sound:gāodù.mp3]
高跟鞋,High heels,gāogēnxié,audios/gāogēnxié.mp3,[sound:gāogēnxié.mp3]
高温,high temperature,gāowēn,audios/gāowēn.mp3,[sound:gāowēn.mp3]
高于,Higher than,gāoyú,audios/gāoyú.mp3,[sound:gāoyú.mp3]
高原,plateau,gāoyuán,audios/gāoyuán.mp3,[sound:gāoyuán.mp3]
搞好,Do well,gǎohǎo,audios/gǎohǎo.mp3,[sound:gǎohǎo.mp3]
歌曲,song,gēqǔ,audios/gēqǔ.mp3,[sound:gēqǔ.mp3]
个儿,height,gèér,audios/gèér.mp3,[sound:gèér.mp3]
更换,replace,gēnghuàn,audios/gēnghuàn.mp3,[sound:gēnghuàn.mp3]
工艺,Craft,gōngyì,audios/gōngyì.mp3,[sound:gōngyì.mp3]
工作日,Working day,gōngzuòrì,audios/gōngzuòrì.mp3,[sound:gōngzuòrì.mp3]
共享,shared,gòngxiǎng,audios/gòngxiǎng.mp3,[sound:gòngxiǎng.mp3]
沟,ditch,gōu,audios/gōu.mp3,[sound:gōu.mp3]
古老,ancient,gǔlǎo,audios/gǔlǎo.mp3,[sound:gǔlǎo.mp3]
鼓,drum,gǔ,audios/gǔ.mp3,[sound:gǔ.mp3]
鼓掌,applaud,gǔzhǎng,audios/gǔzhǎng.mp3,[sound:gǔzhǎng.mp3]
怪,strange,guài,audios/guài.mp3,[sound:guài.mp3]
关怀,care,guānhuái,audios/guānhuái.mp3,[sound:guānhuái.mp3]
光荣,glory,guāngróng,audios/guāngróng.mp3,[sound:guāngróng.mp3]
光线,Light,guāngxiàn,audios/guāngxiàn.mp3,[sound:guāngxiàn.mp3]
广,wide,guǎng,audios/guǎng.mp3,[sound:guǎng.mp3]
鬼,ghost,guǐ,audios/guǐ.mp3,[sound:guǐ.mp3]
柜子,cabinet,guìzi,audios/guìzi.mp3,[sound:guìzi.mp3]
国籍,Country of Citizenship,guójí,audios/guójí.mp3,[sound:guójí.mp3]
国民,national,guómín,audios/guómín.mp3,[sound:guómín.mp3]
害,harm,hài,audios/hài.mp3,[sound:hài.mp3]
好运,good luck,hǎoyùn,audios/hǎoyùn.mp3,[sound:hǎoyùn.mp3]
盒,box,hé,audios/hé.mp3,[sound:hé.mp3]
盒饭,Box lunch,héfàn,audios/héfàn.mp3,[sound:héfàn.mp3]
贺卡,Greeting card,hèkǎ,audios/hèkǎ.mp3,[sound:hèkǎ.mp3]
猴,monkey,hóu,audios/hóu.mp3,[sound:hóu.mp3]
胡同儿,Alley,hútòngér,audios/hútòngér.mp3,[sound:hútòngér.mp3]
胡子,Moustache,húzi,audios/húzi.mp3,[sound:húzi.mp3]
虎,tiger,hǔ,audios/hǔ.mp3,[sound:hǔ.mp3]
华语,Chinese,huáyǔ,audios/huáyǔ.mp3,[sound:huáyǔ.mp3]
滑,slip,huá,audios/huá.mp3,[sound:huá.mp3]
画面,Picture,huàmiàn,audios/huàmiàn.mp3,[sound:huàmiàn.mp3]
慌,Panic,huāng,audios/huāng.mp3,[sound:huāng.mp3]
慌忙,hurried,huāngmáng,audios/huāngmáng.mp3,[sound:huāngmáng.mp3]
灰色,gray,huīsè,audios/huīsè.mp3,[sound:huīsè.mp3]
回头,Look back,huítóu,audios/huítóu.mp3,[sound:huítóu.mp3]
回信,reply,huíxìn,audios/huíxìn.mp3,[sound:huíxìn.mp3]
汇款,money transfer,huìkuǎn,audios/huìkuǎn.mp3,[sound:huìkuǎn.mp3]
会谈,talks,huìtán,audios/huìtán.mp3,[sound:huìtán.mp3]
火腿,Ham,huǒtuǐ,audios/huǒtuǐ.mp3,[sound:huǒtuǐ.mp3]
火灾,Fire,huǒzāi,audios/huǒzāi.mp3,[sound:huǒzāi.mp3]
或是,Or,huòshì,audios/huòshì.mp3,[sound:huòshì.mp3]
机器人,robot,jīqìrén,audios/jīqìrén.mp3,[sound:jīqìrén.mp3]
机制,mechanism,jīzhì,audios/jīzhì.mp3,[sound:jīzhì.mp3]
挤,squeeze,jǐ,audios/jǐ.mp3,[sound:jǐ.mp3]
技能,skill,jìnéng,audios/jìnéng.mp3,[sound:jìnéng.mp3]
加热,heating,jiārè,audios/jiārè.mp3,[sound:jiārè.mp3]
加上,Plus,jiāshàng,audios/jiāshàng.mp3,[sound:jiāshàng.mp3]
加速,accelerate,jiāsù,audios/jiāsù.mp3,[sound:jiāsù.mp3]
加以,Add,jiāyǐ,audios/jiāyǐ.mp3,[sound:jiāyǐ.mp3]
夹,folder,jiā,audios/jiā.mp3,[sound:jiā.mp3]
价,price,jià,audios/jià.mp3,[sound:jià.mp3]
驾照,driver&#39;s license,jiàzhào,audios/jiàzhào.mp3,[sound:jiàzhào.mp3]
肩,shoulder,jiān,audios/jiān.mp3,[sound:jiān.mp3]
减轻,Alleviate,jiǎnqīng,audios/jiǎnqīng.mp3,[sound:jiǎnqīng.mp3]
剪,Cut,jiǎn,audios/jiǎn.mp3,[sound:jiǎn.mp3]
剪子,scissors,jiǎnzi,audios/jiǎnzi.mp3,[sound:jiǎnzi.mp3]
建造,put up,jiànzào,audios/jiànzào.mp3,[sound:jiànzào.mp3]
键,key,jiàn,audios/jiàn.mp3,[sound:jiàn.mp3]
将,will,jiāng,audios/jiāng.mp3,[sound:jiāng.mp3]
将要,will,jiāngyào,audios/jiāngyào.mp3,[sound:jiāngyào.mp3]
郊区,suburbs,jiāoqū,audios/jiāoqū.mp3,[sound:jiāoqū.mp3]
胶带,tape,jiāodài,audios/jiāodài.mp3,[sound:jiāodài.mp3]
脚步,pace,jiǎobù,audios/jiǎobù.mp3,[sound:jiǎobù.mp3]
解放,liberation,jiěfàng,audios/jiěfàng.mp3,[sound:jiěfàng.mp3]
戒,Quit,jiè,audios/jiè.mp3,[sound:jiè.mp3]
今日,today,jīnrì,audios/jīnrì.mp3,[sound:jīnrì.mp3]
紧紧,tightly,jǐnjǐn,audios/jǐnjǐn.mp3,[sound:jǐnjǐn.mp3]
尽可能,As much as possible,jìnkěnéng,audios/jìnkěnéng.mp3,[sound:jìnkěnéng.mp3]
景象,scene,jǐngxiàng,audios/jǐngxiàng.mp3,[sound:jǐngxiàng.mp3]
酒鬼,drunkard,jiǔguǐ,audios/jiǔguǐ.mp3,[sound:jiǔguǐ.mp3]
救灾,Disaster relief,jiùzāi,audios/jiùzāi.mp3,[sound:jiùzāi.mp3]
局长,Director,júzhǎng,audios/júzhǎng.mp3,[sound:júzhǎng.mp3]
决不,never,juébù,audios/juébù.mp3,[sound:juébù.mp3]
军人,soldier,jūnrén,audios/jūnrén.mp3,[sound:jūnrén.mp3]
开幕,Opening,kāimù,audios/kāimù.mp3,[sound:kāimù.mp3]
看成,Regarded as,kànchéng,audios/kànchéng.mp3,[sound:kànchéng.mp3]
看出,see,kànchū,audios/kànchū.mp3,[sound:kànchū.mp3]
烤肉,Barbecue,kǎoròu,audios/kǎoròu.mp3,[sound:kǎoròu.mp3]
烤鸭,Roast Duck,kǎoyā,audios/kǎoyā.mp3,[sound:kǎoyā.mp3]
靠近,near,kàojìn,audios/kàojìn.mp3,[sound:kàojìn.mp3]
咳,cough,ké,audios/ké.mp3,[sound:ké.mp3]
可,can,kě,audios/kě.mp3,[sound:kě.mp3]
客气,polite,kèqì,audios/kèqì.mp3,[sound:kèqì.mp3]
客厅,living room,kètīng,audios/kètīng.mp3,[sound:kètīng.mp3]
空中,In the air,kōngzhōng,audios/kōngzhōng.mp3,[sound:kōngzhōng.mp3]
口号,slogan,kǒuhào,audios/kǒuhào.mp3,[sound:kǒuhào.mp3]
库,Library,kù,audios/kù.mp3,[sound:kù.mp3]
宽度,width,kuāndù,audios/kuāndù.mp3,[sound:kuāndù.mp3]
狂,mad,kuáng,audios/kuáng.mp3,[sound:kuáng.mp3]
亏,deficit,kuī,audios/kuī.mp3,[sound:kuī.mp3]
困扰,Trouble,kùnrǎo,audios/kùnrǎo.mp3,[sound:kùnrǎo.mp3]
落,drop,luò,audios/luò.mp3,[sound:luò.mp3]
来信,Letter,láixìn,audios/láixìn.mp3,[sound:láixìn.mp3]
朗读,Read aloud,lǎngdú,audios/lǎngdú.mp3,[sound:lǎngdú.mp3]
礼,ceremony,lǐ,audios/lǐ.mp3,[sound:lǐ.mp3]
礼拜,worship,lǐbài,audios/lǐbài.mp3,[sound:lǐbài.mp3]
立,Stand up,lì,audios/lì.mp3,[sound:lì.mp3]
连接,connection,liánjiē,audios/liánjiē.mp3,[sound:liánjiē.mp3]
脸盆,washbasin,liǎnpén,audios/liǎnpén.mp3,[sound:liǎnpén.mp3]
脸色,Face,liǎnsè,audios/liǎnsè.mp3,[sound:liǎnsè.mp3]
两岸,Cross-strait,liǎngàn,audios/liǎngàn.mp3,[sound:liǎngàn.mp3]
铃声,ring,língshēng,audios/língshēng.mp3,[sound:língshēng.mp3]
领带,tie,lǐngdài,audios/lǐngdài.mp3,[sound:lǐngdài.mp3]
令,make,lìng,audios/lìng.mp3,[sound:lìng.mp3]
流动,flow,liúdòng,audios/liúdòng.mp3,[sound:liúdòng.mp3]
漏洞,Loophole,lòudòng,audios/lòudòng.mp3,[sound:lòudòng.mp3]
买卖,Buy and sell,mǎimài,audios/mǎimài.mp3,[sound:mǎimài.mp3]
毛笔,Writing brush,máobǐ,audios/máobǐ.mp3,[sound:máobǐ.mp3]
冒,Risk,mào,audios/mào.mp3,[sound:mào.mp3]
煤,coal,méi,audios/méi.mp3,[sound:méi.mp3]
煤气,gas,méiqì,audios/méiqì.mp3,[sound:méiqì.mp3]
门诊,Outpatient,ménzhěn,audios/ménzhěn.mp3,[sound:ménzhěn.mp3]
秒,second,miǎo,audios/miǎo.mp3,[sound:miǎo.mp3]
敏感,sensitive,mǐngǎn,audios/mǐngǎn.mp3,[sound:mǐngǎn.mp3]
明亮,Bright,míngliàng,audios/míngliàng.mp3,[sound:míngliàng.mp3]
摩托,Motorcycle,mótuō,audios/mótuō.mp3,[sound:mótuō.mp3]
男性,male,nánxìng,audios/nánxìng.mp3,[sound:nánxìng.mp3]
南北,North and South,nánběi,audios/nánběi.mp3,[sound:nánběi.mp3]
南极,Antarctica,nánjí,audios/nánjí.mp3,[sound:nánjí.mp3]
难以,difficult,nányǐ,audios/nányǐ.mp3,[sound:nányǐ.mp3]
脑子,Brain,nǎozi,audios/nǎozi.mp3,[sound:nǎozi.mp3]
年前,Years ago,niánqián,audios/niánqián.mp3,[sound:niánqián.mp3]
牛,Cattle,niú,audios/niú.mp3,[sound:niú.mp3]
农产品,Agricultural products,nóngchǎnpǐn,audios/nóngchǎnpǐn.mp3,[sound:nóngchǎnpǐn.mp3]
女性,female,nǚxìng,audios/nǚxìng.mp3,[sound:nǚxìng.mp3]
暖,warm,nuǎn,audios/nuǎn.mp3,[sound:nuǎn.mp3]
偶像,idol,ǒuxiàng,audios/ǒuxiàng.mp3,[sound:ǒuxiàng.mp3]
拍摄,Shoot,pāishè,audios/pāishè.mp3,[sound:pāishè.mp3]
旁,beside,páng,audios/páng.mp3,[sound:páng.mp3]
赔,pay,péi,audios/péi.mp3,[sound:péi.mp3]
喷,spray,pēn,audios/pēn.mp3,[sound:pēn.mp3]
皮鞋,leather shoes,píxié,audios/píxié.mp3,[sound:píxié.mp3]
脾气,temper,píqì,audios/píqì.mp3,[sound:píqì.mp3]
骗子,con man,piànzi,audios/piànzi.mp3,[sound:piànzi.mp3]
拼,spell,pīn,audios/pīn.mp3,[sound:pīn.mp3]
品,Product,pǐn,audios/pǐn.mp3,[sound:pǐn.mp3]
品,Product,pǐn,audios/pǐn.mp3,[sound:pǐn.mp3]
品种,Variety,pǐnzhǒng,audios/pǐnzhǒng.mp3,[sound:pǐnzhǒng.mp3]
葡萄,grape,pútáo,audios/pútáo.mp3,[sound:pútáo.mp3]
葡萄酒,wine,pútáojiǔ,audios/pútáojiǔ.mp3,[sound:pútáojiǔ.mp3]
其,its,qí,audios/qí.mp3,[sound:qí.mp3]
启动,start up,qǐdòng,audios/qǐdòng.mp3,[sound:qǐdòng.mp3]
起到,Up to,qǐdào,audios/qǐdào.mp3,[sound:qǐdào.mp3]
气体,gas,qìtǐ,audios/qìtǐ.mp3,[sound:qìtǐ.mp3]
签,sign,qiān,audios/qiān.mp3,[sound:qiān.mp3]
签订,Signed,qiāndìng,audios/qiāndìng.mp3,[sound:qiāndìng.mp3]
签名,signature,qiānmíng,audios/qiānmíng.mp3,[sound:qiānmíng.mp3]
签约,Sign up,qiānyuē,audios/qiānyuē.mp3,[sound:qiānyuē.mp3]
签字,signature,qiānzì,audios/qiānzì.mp3,[sound:qiānzì.mp3]
强度,strength,qiángdù,audios/qiángdù.mp3,[sound:qiángdù.mp3]
墙壁,wall,qiángbì,audios/qiángbì.mp3,[sound:qiángbì.mp3]
敲门,Knock on the door,qiāomén,audios/qiāomén.mp3,[sound:qiāomén.mp3]
琴,Piano,qín,audios/qín.mp3,[sound:qín.mp3]
全都,all,quándōu,audios/quándōu.mp3,[sound:quándōu.mp3]
全世界,worldwide,quánshìjiè,audios/quánshìjiè.mp3,[sound:quánshìjiè.mp3]
泉,spring,quán,audios/quán.mp3,[sound:quán.mp3]
群体,group,qúntǐ,audios/qúntǐ.mp3,[sound:qúntǐ.mp3]
热量,Calories,rèliàng,audios/rèliàng.mp3,[sound:rèliàng.mp3]
人力,Manpower,rénlì,audios/rénlì.mp3,[sound:rénlì.mp3]
忍,endure,rěn,audios/rěn.mp3,[sound:rěn.mp3]
认,recognize,rèn,audios/rèn.mp3,[sound:rèn.mp3]
如此,in this way,rúcǐ,audios/rúcǐ.mp3,[sound:rúcǐ.mp3]
如同,as,rútóng,audios/rútóng.mp3,[sound:rútóng.mp3]
如下,as follows,rúxià,audios/rúxià.mp3,[sound:rúxià.mp3]
入门,getting Started,rùmén,audios/rùmén.mp3,[sound:rùmén.mp3]
软,soft,ruǎn,audios/ruǎn.mp3,[sound:ruǎn.mp3]
散,Scattered,sàn,audios/sàn.mp3,[sound:sàn.mp3]
杀毒,Antivirus,shādú,audios/shādú.mp3,[sound:shādú.mp3]
山区,Mountain,shānqū,audios/shānqū.mp3,[sound:shānqū.mp3]
扇,fan,shàn,audios/shàn.mp3,[sound:shàn.mp3]
扇,fan,shàn,audios/shàn.mp3,[sound:shàn.mp3]
扇子,fan,shànzi,audios/shànzi.mp3,[sound:shànzi.mp3]
上下,up and down,shàngxià,audios/shàngxià.mp3,[sound:shàngxià.mp3]
上涨,rise,shàngzhǎng,audios/shàngzhǎng.mp3,[sound:shàngzhǎng.mp3]
稍,a little,shāo,audios/shāo.mp3,[sound:shāo.mp3]
舍得,Willing,shède,audios/shède.mp3,[sound:shède.mp3]
社,Society,shè,audios/shè.mp3,[sound:shè.mp3]
射,Shoot,shè,audios/shè.mp3,[sound:shè.mp3]
摄像,Camera,shèxiàng,audios/shèxiàng.mp3,[sound:shèxiàng.mp3]
摄像机,Video camera,shèxiàngjī,audios/shèxiàngjī.mp3,[sound:shèxiàngjī.mp3]
摄影师,Photographer,shèyǐngshī,audios/shèyǐngshī.mp3,[sound:shèyǐngshī.mp3]
深处,deep,shēnchù,audios/shēnchù.mp3,[sound:shēnchù.mp3]
深度,depth,shēndù,audios/shēndù.mp3,[sound:shēndù.mp3]
神,God,shén,audios/shén.mp3,[sound:shén.mp3]
神经,nerve,shénjīng,audios/shénjīng.mp3,[sound:shénjīng.mp3]
神情,look,shénqíng,audios/shénqíng.mp3,[sound:shénqíng.mp3]
升高,Elevated,shēnggāo,audios/shēnggāo.mp3,[sound:shēnggāo.mp3]
生成,generate,shēngchéng,audios/shēngchéng.mp3,[sound:shēngchéng.mp3]
声,sound,shēng,audios/shēng.mp3,[sound:shēng.mp3]
剩下,Left,shèngxià,audios/shèngxià.mp3,[sound:shèngxià.mp3]
诗歌,Poetry,shīgē,audios/shīgē.mp3,[sound:shīgē.mp3]
使得,Make,shǐde,audios/shǐde.mp3,[sound:shǐde.mp3]
式,formula,shì,audios/shì.mp3,[sound:shì.mp3]
视频,video,shìpín,audios/shìpín.mp3,[sound:shìpín.mp3]
视为,Regarded as,shìwèi,audios/shìwèi.mp3,[sound:shìwèi.mp3]
收购,Acquisition,shōugòu,audios/shōugòu.mp3,[sound:shōugòu.mp3]
收集,collect,shōují,audios/shōují.mp3,[sound:shōují.mp3]
手段,means,shǒuduàn,audios/shǒuduàn.mp3,[sound:shǒuduàn.mp3]
寿司,Sushi,shòusī,audios/shòusī.mp3,[sound:shòusī.mp3]
受灾,Disaster,shòuzāi,audios/shòuzāi.mp3,[sound:shòuzāi.mp3]
书柜,bookcase,shūguì,audios/shūguì.mp3,[sound:shūguì.mp3]
书桌,desk,shūzhuō,audios/shūzhuō.mp3,[sound:shūzhuō.mp3]
输出,Output,shūchū,audios/shūchū.mp3,[sound:shūchū.mp3]
鼠,mouse,shǔ,audios/shǔ.mp3,[sound:shǔ.mp3]
数目,number,shùmù,audios/shùmù.mp3,[sound:shùmù.mp3]
摔,fall,shuāi,audios/shuāi.mp3,[sound:shuāi.mp3]
摔倒,fall,shuāidǎo,audios/shuāidǎo.mp3,[sound:shuāidǎo.mp3]
双手,Hands,shuāngshǒu,audios/shuāngshǒu.mp3,[sound:shuāngshǒu.mp3]
水产品,Aquatic products,shuǐchǎnpǐn,audios/shuǐchǎnpǐn.mp3,[sound:shuǐchǎnpǐn.mp3]
水分,Moisture,shuǐfèn,audios/shuǐfèn.mp3,[sound:shuǐfèn.mp3]
水库,Reservoir,shuǐkù,audios/shuǐkù.mp3,[sound:shuǐkù.mp3]
水灾,flood,shuǐzāi,audios/shuǐzāi.mp3,[sound:shuǐzāi.mp3]
睡眠,Sleep,shuìmián,audios/shuìmián.mp3,[sound:shuìmián.mp3]
说法,statement,shuōfǎ,audios/shuōfǎ.mp3,[sound:shuōfǎ.mp3]
四周,All around,sìzhōu,audios/sìzhōu.mp3,[sound:sìzhōu.mp3]
搜,Search,sōu,audios/sōu.mp3,[sound:sōu.mp3]
搜索,search for,sōusuǒ,audios/sōusuǒ.mp3,[sound:sōusuǒ.mp3]
酸甜苦辣,ups and downs,suāntiánkǔlà,audios/suāntiánkǔlà.mp3,[sound:suāntiánkǔlà.mp3]
