hanzi,translation,pinyin,location
得分,Score,défēn,audios/défēn.mp3
底下,under,dǐxià,audios/dǐxià.mp3
电视剧,TV series,diànshìjù,audios/diànshìjù.mp3
电视台,TV station,diànshìtái,audios/diànshìtái.mp3
调,Tune,diào,audios/diào.mp3
订,Order,dìng,audios/dìng.mp3
东部,east,dōngbù,audios/dōngbù.mp3
动人,moving,dòngrén,audios/dòngrén.mp3
读者,reader,dúzhě,audios/dúzhě.mp3
短处,Shortcomings,duǎnchù,audios/duǎnchù.mp3
短裤,shorts,duǎnkù,audios/duǎnkù.mp3
短期,short term,duǎnqī,audios/duǎnqī.mp3
断,Cut off,duàn,audios/duàn.mp3
队员,Players,duìyuán,audios/duìyuán.mp3
顿,pause,dùn,audios/dùn.mp3
发出,issue,fāchū,audios/fāchū.mp3
发送,send,fāsòng,audios/fāsòng.mp3
范围,range,fànwéi,audios/fànwéi.mp3
防,Guard against,fáng,audios/fáng.mp3
房东,landlord,fángdōng,audios/fángdōng.mp3
房屋,houses,fángwū,audios/fángwū.mp3
房租,rent,fángzū,audios/fángzū.mp3
访问,access,fǎngwèn,audios/fǎngwèn.mp3
放到,Put to,fàngdào,audios/fàngdào.mp3
飞行,flight,fēixíng,audios/fēixíng.mp3
费,fee,fèi,audios/fèi.mp3
费用,cost,fèiyòng,audios/fèiyòng.mp3
分组,Grouping,fēnzǔ,audios/fēnzǔ.mp3
福,blessing,fú,audios/fú.mp3
父母,parents,fùmǔ,audios/fùmǔ.mp3
付,pay,fù,audios/fù.mp3
改造,Retrofit,gǎizào,audios/gǎizào.mp3
赶,Rush,gǎn,audios/gǎn.mp3
赶到,Arrived,gǎndào,audios/gǎndào.mp3
敢,dare,gǎn,audios/gǎn.mp3
干吗,Why,gànmá,audios/gànmá.mp3
高速,high speed,gāosù,audios/gāosù.mp3
高速公路,highway,gāosùgōnglù,audios/gāosùgōnglù.mp3
歌迷,Fans,gēmí,audios/gēmí.mp3
歌声,singing,gēshēng,audios/gēshēng.mp3
歌手,singer,gēshǒu,audios/gēshǒu.mp3
各地,Everywhere,gèdì,audios/gèdì.mp3
各位,Everybody,gèwèi,audios/gèwèi.mp3
各种,Various,gèzhǒng,audios/gèzhǒng.mp3
各自,respective,gèzì,audios/gèzì.mp3
更加,more,gèngjiā,audios/gèngjiā.mp3
工夫,time,gōngfū,audios/gōngfū.mp3
工具,tool,gōngjù,audios/gōngjù.mp3
公共,public,gōnggòng,audios/gōnggòng.mp3
公务员,Civil servant,gōngwùyuán,audios/gōngwùyuán.mp3
功夫,effort,gōngfū,audios/gōngfū.mp3
功课,homework,gōngkè,audios/gōngkè.mp3
共有,Share,gòngyǒu,audios/gòngyǒu.mp3
古,ancient,gǔ,audios/gǔ.mp3
关注,attention,guānzhù,audios/guānzhù.mp3
观看,Watch,guānkàn,audios/guānkàn.mp3
管,tube,guǎn,audios/guǎn.mp3
国内,domestic,guónèi,audios/guónèi.mp3
国庆,National Day,guóqìng,audios/guóqìng.mp3
果然,really,guǒrán,audios/guǒrán.mp3
果汁,fruit juice,guǒzhī,audios/guǒzhī.mp3
哈哈,Haha,hāhā,audios/hāhā.mp3
好好,Good,hǎohǎo,audios/hǎohǎo.mp3
合,Combine,hé,audios/hé.mp3
红茶,black tea,hóngchá,audios/hóngchá.mp3
红酒,Red wine,hóngjiǔ,audios/hóngjiǔ.mp3
后面,Behind,hòumiàn,audios/hòumiàn.mp3
后年,The next year,hòunián,audios/hòunián.mp3
互联网,the Internet,hùliánwǎng,audios/hùliánwǎng.mp3
划船,boating,huáchuán,audios/huáchuán.mp3
华人,Chinese,huárén,audios/huárén.mp3
化,Transform,huà,audios/huà.mp3
话剧,Drama,huàjù,audios/huàjù.mp3
环,ring,huán,audios/huán.mp3
环保,Environmental protection,huánbǎo,audios/huánbǎo.mp3
会员,member,huìyuán,audios/huìyuán.mp3
活,live,huó,audios/huó.mp3
基本上,basically,jīběnshàng,audios/jīběnshàng.mp3
…极了,…Extremely,…jíle,audios/…jíle.mp3
加快,accelerate,jiākuài,audios/jiākuài.mp3
加强,strengthen,jiāqiáng,audios/jiāqiáng.mp3
价钱,price,jiàqián,audios/jiàqián.mp3
架,frame,jià,audios/jià.mp3
建,build,jiàn,audios/jiàn.mp3
建成,Built,jiànchéng,audios/jiànchéng.mp3
建议,Suggest,jiànyì,audios/jiànyì.mp3
交费,Pay,jiāofèi,audios/jiāofèi.mp3
交警,Traffic police,jiāojǐng,audios/jiāojǐng.mp3
交往,Associate,jiāowǎng,audios/jiāowǎng.mp3
较,More,jiào,audios/jiào.mp3
解开,Untie,jiěkāi,audios/jiěkāi.mp3
金,gold,jīn,audios/jīn.mp3
金牌,gold medal,jīnpái,audios/jīnpái.mp3
仅,only,jǐn,audios/jǐn.mp3
仅仅,only,jǐnjǐn,audios/jǐnjǐn.mp3
紧,tight,jǐn,audios/jǐn.mp3
进一步,further,jìnyíbù,audios/jìnyíbù.mp3
近期,Recent,jìnqī,audios/jìnqī.mp3
精神,spirit,jīngshén,audios/jīngshén.mp3
精神,spirit,jīngshén,audios/jīngshén.mp3
景色,view,jǐngsè,audios/jǐngsè.mp3
静,Quiet,jìng,audios/jìng.mp3
就是,Just,jiùshì,audios/jiùshì.mp3
具有,have,jùyǒu,audios/jùyǒu.mp3
剧场,theater,jùchǎng,audios/jùchǎng.mp3
开业,Opened,kāiyè,audios/kāiyè.mp3
看起来,It looks like,kànqǐlái,audios/kànqǐlái.mp3
看上去,It looks,kànshàngqù,audios/kànshàngqù.mp3
科技,Technology,kējì,audios/kējì.mp3
可乐,Coke,kělè,audios/kělè.mp3
空,air,kōng,audios/kōng.mp3
空儿,Empty,kòngér,audios/kòngér.mp3
快速,fast,kuàisù,audios/kuàisù.mp3
老太太,old lady,lǎotàitài,audios/lǎotàitài.mp3
老头儿,Old man,lǎotouer,audios/lǎotouer.mp3
乐,fun,lè,audios/lè.mp3
类,class,lèi,audios/lèi.mp3
里面,inside,lǐmiàn,audios/lǐmiàn.mp3
力,force,lì,audios/lì.mp3
连续,continuous,liánxù,audios/liánxù.mp3
连续剧,Series,liánxùjù,audios/liánxùjù.mp3
联合国,United Nations,liánhéguó,audios/liánhéguó.mp3
凉水,cold water,liángshuǐ,audios/liángshuǐ.mp3
领,collar,lǐng,audios/lǐng.mp3
另一方面,on the other hand,lìngyìfāngmiàn,audios/lìngyìfāngmiàn.mp3
留学,Study abroad,liúxué,audios/liúxué.mp3
录,record,lù,audios/lù.mp3
路线,route,lùxiàn,audios/lùxiàn.mp3
旅馆,hostel,lǚguǎn,audios/lǚguǎn.mp3
旅行社,Travel agency,lǚxíngshè,audios/lǚxíngshè.mp3
绿茶,green tea,lǜchá,audios/lǜchá.mp3
慢慢,Slowly,mànmàn,audios/mànmàn.mp3
毛,hair,máo,audios/máo.mp3
没用,Useless,méiyòng,audios/méiyòng.mp3
媒体,media,méitǐ,audios/méitǐ.mp3
美,nice,měi,audios/měi.mp3
美好,Beautiful,měihǎo,audios/měihǎo.mp3
美食,Gourmet food,měishí,audios/měishí.mp3
美元,U.S. dollar,měiyuán,audios/měiyuán.mp3
迷,fan,mí,audios/mí.mp3
奶茶,Milk tea,nǎichá,audios/nǎichá.mp3
男子,man,nánzi,audios/nánzi.mp3
南部,South,nánbù,audios/nánbù.mp3
难度,Difficulty,nándù,audios/nándù.mp3
内心,heart,nèixīn,audios/nèixīn.mp3
能不能,Can you,néngbùnéng,audios/néngbùnéng.mp3
年初,The beginning of the year,niánchū,audios/niánchū.mp3
年底,End of the year,niándǐ,audios/niándǐ.mp3
牛,Cattle,niú,audios/niú.mp3
农村,Rural area,nóngcūn,audios/nóngcūn.mp3
女子,woman,nǚzǐ,audios/nǚzǐ.mp3
怕,afraid,pà,audios/pà.mp3
排,row,pái,audios/pái.mp3
排名,Rank,páimíng,audios/páimíng.mp3
牌子,brand,páizi,audios/páizi.mp3
配,Match,pèi,audios/pèi.mp3
皮,skin,pí,audios/pí.mp3
皮包,Purses,píbāo,audios/píbāo.mp3
票价,fare,piàojià,audios/piàojià.mp3
期,period,qī,audios/qī.mp3
齐,Qi,qí,audios/qí.mp3
前后,Before and after,qiánhòu,audios/qiánhòu.mp3
前进,go ahead,qiánjìn,audios/qiánjìn.mp3
前往,Go to,qiánwǎng,audios/qiánwǎng.mp3
强,Strong,qiáng,audios/qiáng.mp3
强大,powerful,qiángdà,audios/qiángdà.mp3
巧,Clever,qiǎo,audios/qiǎo.mp3
亲,Dear,qīn,audios/qīn.mp3
亲人,Relatives,qīnrén,audios/qīnrén.mp3
情感,emotion,qínggǎn,audios/qínggǎn.mp3
区,Area,qū,audios/qū.mp3
全场,Audience,quánchǎng,audios/quánchǎng.mp3
全球,global,quánqiú,audios/quánqiú.mp3
缺,lack,quē,audios/quē.mp3
群,group,qún,audios/qún.mp3
人民,people,rénmín,audios/rénmín.mp3
人民币,Renminbi,rénmínbì,audios/rénmínbì.mp3
人群,crowd,rénqún,audios/rénqún.mp3
认出,make out,rènchū,audios/rènchū.mp3
认得,Recognize,rènde,audios/rènde.mp3
任,Ren,rèn,audios/rèn.mp3
任,Ren,rèn,audios/rèn.mp3
仍,still,réng,audios/réng.mp3
沙子,sand,shāzi,audios/shāzi.mp3
伤,hurt,shāng,audios/shāng.mp3
上来,Come up,shànglái,audios/shànglái.mp3
上面,Above,shàngmiàn,audios/shàngmiàn.mp3
上去,Go up,shǎngqù,audios/shǎngqù.mp3
上升,rise,shàngshēng,audios/shàngshēng.mp3
上衣,coat,shàngyī,audios/shàngyī.mp3
身份证,ID card,shēnfènzhèng,audios/shēnfènzhèng.mp3
深入,Go deep,shēnrù,audios/shēnrù.mp3
生,Give birth,shēng,audios/shēng.mp3
生意,business,shēngyì,audios/shēngyì.mp3
生长,Grow,shēngzhǎng,audios/shēngzhǎng.mp3
胜,Win,shèng,audios/shèng.mp3
时,Time,shí,audios/shí.mp3
实际上,Actually,shíjìshàng,audios/shíjìshàng.mp3
实行,Implement,shíxíng,audios/shíxíng.mp3
实验室,laboratory,shíyànshì,audios/shíyànshì.mp3
食品,food,shípǐn,audios/shípǐn.mp3
使,Make,shǐ,audios/shǐ.mp3
世界杯,World Cup,shìjièbēi,audios/shìjièbēi.mp3
市场,market,shìchǎng,audios/shìchǎng.mp3
事实上,In fact,shìshíshàng,audios/shìshíshàng.mp3
试题,Test questions,shìtí,audios/shìtí.mp3
适用,Be applicable,shìyòng,audios/shìyòng.mp3
室,room,shì,audios/shì.mp3
收费,toll,shōufèi,audios/shōufèi.mp3
收看,Watch,shōukàn,audios/shōukàn.mp3
收听,Listen to,shōutīng,audios/shōutīng.mp3
受,Receive,shòu,audios/shòu.mp3
熟人,acquaintance,shúrén,audios/shúrén.mp3
属,Belong to,shǔ,audios/shǔ.mp3
随,Follow,suí,audios/suí.mp3
所长,Director,suǒzhǎng,audios/suǒzhǎng.mp3
谈话,conversation,tánhuà,audios/tánhuà.mp3
糖,sugar,táng,audios/táng.mp3
特色,Feature,tèsè,audios/tèsè.mp3
调,Tune,diào,audios/diào.mp3
跳,jump,tiào,audios/tiào.mp3
跳高,high jump,tiàogāo,audios/tiàogāo.mp3
跳远,long jump,tiàoyuǎn,audios/tiàoyuǎn.mp3
铁,iron,tiě,audios/tiě.mp3
铁路,railway,tiělù,audios/tiělù.mp3
听力,hearing,tīnglì,audios/tīnglì.mp3
听众,audience,tīngzhòng,audios/tīngzhòng.mp3
停止,Stop,tíngzhǐ,audios/tíngzhǐ.mp3
通信,Communication,tōngxìn,audios/tōngxìn.mp3
痛,pain,tòng,audios/tòng.mp3
头,head,tóu,audios/tóu.mp3
头脑,mind,tóunǎo,audios/tóunǎo.mp3
图,Figure,tú,audios/tú.mp3
图画,picture,túhuà,audios/túhuà.mp3
土,earth,tǔ,audios/tǔ.mp3
推动,promote,tuīdòng,audios/tuīdòng.mp3
推进,Advance,tuījìn,audios/tuījìn.mp3
推开,Push away,tuīkāi,audios/tuīkāi.mp3
退出,drop out,tuìchū,audios/tuìchū.mp3
外面,outside,wàimiàn,audios/wàimiàn.mp3
外文,foreign language,wàiwén,audios/wàiwén.mp3
围,Encircle,wéi,audios/wéi.mp3
卫生,health,wèishēng,audios/wèishēng.mp3
卫生间,bathroom,wèishēngjiān,audios/wèishēngjiān.mp3
文字,Text,wénzì,audios/wénzì.mp3
握手,shake hands,wòshǒu,audios/wòshǒu.mp3
武器,arms,wǔqì,audios/wǔqì.mp3
舞台,stage,wǔtái,audios/wǔtái.mp3
西部,west,xībù,audios/xībù.mp3
下来,Come down,xiàlái,audios/xiàlái.mp3
下面,the following,xiàmiàn,audios/xiàmiàn.mp3
下去,Go down,xiàqù,audios/xiàqù.mp3
现代,modern,xiàndài,audios/xiàndài.mp3
现金,cash,xiànjīn,audios/xiànjīn.mp3
线,line,xiàn,audios/xiàn.mp3
相比,compared to,xiāngbǐ,audios/xiāngbǐ.mp3
相互,mutual,xiānghù,audios/xiānghù.mp3
写作,writing,xiězuò,audios/xiězuò.mp3
血,blood,xuè,audios/xuè.mp3
心,heart,xīn,audios/xīn.mp3
信,letter,xìn,audios/xìn.mp3
信封,envelope,xìnfēng,audios/xìnfēng.mp3
信任,trust,xìnrèn,audios/xìnrèn.mp3
行李,Baggage,xínglǐ,audios/xínglǐ.mp3
性,Sex,xìng,audios/xìng.mp3
修,repair,xiū,audios/xiū.mp3
学费,tuition,xuéfèi,audios/xuéfèi.mp3
压,Pressure,yā,audios/yā.mp3
烟,smoke,yān,audios/yān.mp3
眼前,In front of,yǎnqián,audios/yǎnqián.mp3
演,play,yǎn,audios/yǎn.mp3
演唱,Sing,yǎnchàng,audios/yǎnchàng.mp3
演唱会,concert,yǎnchànghuì,audios/yǎnchànghuì.mp3
羊,sheep,yáng,audios/yáng.mp3
要是,if,yàoshì,audios/yàoshì.mp3
衣架,hanger,yījià,audios/yījià.mp3
已,Already,yǐ,audios/yǐ.mp3
一方面,on the one hand,yìfāngmiàn,audios/yìfāngmiàn.mp3
银牌,silver medal,yínpái,audios/yínpái.mp3
应当,should,yīngdāng,audios/yīngdāng.mp3
影视,Film and television,yǐngshì,audios/yǐngshì.mp3
邮件,mail,yóujiàn,audios/yóujiàn.mp3
邮票,stamp,yóupiào,audios/yóupiào.mp3
邮箱,mailbox,yóuxiāng,audios/yóuxiāng.mp3
游,tour,yóu,audios/yóu.mp3
有的是,Some are,yǒudeshì,audios/yǒudeshì.mp3
有效,effective,yǒuxiào,audios/yǒuxiào.mp3
预计,Expected,yùjì,audios/yùjì.mp3
员,member,yuán,audios/yuán.mp3
员工,Employee,yuángōng,audios/yuángōng.mp3
约,approximately,yuē,audios/yuē.mp3
乐队,band,yuèduì,audios/yuèduì.mp3
早已,Already,zǎoyǐ,audios/zǎoyǐ.mp3
造,Make,zào,audios/zào.mp3
增长,increase,zēngzhǎng,audios/zēngzhǎng.mp3
张,Zhang,zhāng,audios/zhāng.mp3
照,According to,zhào,audios/zhào.mp3
者,By,zhě,audios/zhě.mp3
争,Contend,zhēng,audios/zhēng.mp3
整,whole,zhěng,audios/zhěng.mp3
整齐,neat,zhěngqí,audios/zhěngqí.mp3
整天,All day,zhěngtiān,audios/zhěngtiān.mp3
整整,full,zhěngzhěng,audios/zhěngzhěng.mp3
证,certificate,zhèng,audios/zhèng.mp3
支付,Pay,zhīfù,audios/zhīfù.mp3
直到,until,zhídào,audios/zhídào.mp3
值,value,zhí,audios/zhí.mp3
职工,staff,zhígōng,audios/zhígōng.mp3
只是,just,zhǐshì,audios/zhǐshì.mp3
只有,only,zhǐyǒu,audios/zhǐyǒu.mp3
指出,Point out,zhǐchū,audios/zhǐchū.mp3
志愿,volunteer,zhìyuàn,audios/zhìyuàn.mp3
制造,manufacture,zhìzào,audios/zhìzào.mp3
中部,Central,zhōngbù,audios/zhōngbù.mp3
中华民族,Chinese nation,zhōnghuámínzú,audios/zhōnghuámínzú.mp3
钟,bell,zhōng,audios/zhōng.mp3
重大,major,zhòngdà,audios/zhòngdà.mp3
猪,pig,zhū,audios/zhū.mp3
主动,initiative,zhǔdòng,audios/zhǔdòng.mp3
主任,director,zhǔrèn,audios/zhǔrèn.mp3
祝,wish,zhù,audios/zhù.mp3
抓,Grab,zhuā,audios/zhuā.mp3
抓住,Seize,zhuāzhù,audios/zhuāzhù.mp3
转,turn,zhuǎn,audios/zhuǎn.mp3
追,chase,zhuī,audios/zhuī.mp3
准,quasi-,zhǔn,audios/zhǔn.mp3
子女,child,zǐnǚ,audios/zǐnǚ.mp3
自身,itself,zìshēn,audios/zìshēn.mp3
总,total,zǒng,audios/zǒng.mp3
足够,enough,zúgòu,audios/zúgòu.mp3
足球,football,zúqiú,audios/zúqiú.mp3
左右,about,zuǒyòu,audios/zuǒyòu.mp3
做客,Be a guest,zuòkè,audios/zuòkè.mp3
