hanzi,translation,pinyin,location
春节,Spring Festival,chūnjié,audios/chūnjié.mp3
春天,spring,chūntiān,audios/chūntiān.mp3
词,word,cí,audios/cí.mp3
词典,dictionary,cídiǎn,audios/cídiǎn.mp3
词语,Words,cíyǔ,audios/cíyǔ.mp3
从小,Since childhood,cóngxiǎo,audios/cóngxiǎo.mp3
大部分,most,dàbùfèn,audios/dàbùfèn.mp3
大大,Greatly,dàdà,audios/dàdà.mp3
大多数,most,dàduōshù,audios/dàduōshù.mp3
大海,The sea,dàhǎi,audios/dàhǎi.mp3
大量,A lot,dàliàng,audios/dàliàng.mp3
大门,door,dàmén,audios/dàmén.mp3
大人,grown ups,dàrén,audios/dàrén.mp3
大声,Loudly,dàshēng,audios/dàshēng.mp3
大小,size,dàxiǎo,audios/dàxiǎo.mp3
大衣,Overcoat,dàyī,audios/dàyī.mp3
大自然,nature,dàzìrán,audios/dàzìrán.mp3
带来,bring,dàilái,audios/dàilái.mp3
但,but,dàn,audios/dàn.mp3
蛋,egg,dàn,audios/dàn.mp3
倒,inverted,dào,audios/dào.mp3
倒,inverted,dào,audios/dào.mp3
道,Tao,dào,audios/dào.mp3
道路,the way,dàolù,audios/dàolù.mp3
得出,inferred,déchū,audios/déchū.mp3
的话,if,dehuà,audios/dehuà.mp3
等到,wait until,děngdào,audios/děngdào.mp3
低,low,dī,audios/dī.mp3
地铁站,subway station,dìtiězhàn,audios/dìtiězhàn.mp3
点头,nod,diǎntóu,audios/diǎntóu.mp3
店,shop,diàn,audios/diàn.mp3
东北,northeast,dōngběi,audios/dōngběi.mp3
东方,East,dōngfāng,audios/dōngfāng.mp3
东南,southeast,dōngnán,audios/dōngnán.mp3
冬天,winter,dōngtiān,audios/dōngtiān.mp3
懂得,know,dǒngde,audios/dǒngde.mp3
动物园,zoo,dòngwùyuán,audios/dòngwùyuán.mp3
读音,pronunciation,dúyīn,audios/dúyīn.mp3
度,degree,dù,audios/dù.mp3
短信,SMS,duǎnxìn,audios/duǎnxìn.mp3
队,team,duì,audios/duì.mp3
队长,team leader,duìzhǎng,audios/duìzhǎng.mp3
多久,how long,duōjiǔ,audios/duōjiǔ.mp3
多数,most,duōshù,audios/duōshù.mp3
多云,partly cloudy,duōyún,audios/duōyún.mp3
发,hair,fā,audios/fā.mp3
饭馆,restaurant,fànguǎn,audios/fànguǎn.mp3
方便面,Instant noodles,fāngbiànmiàn,audios/fāngbiànmiàn.mp3
放下,lay down,fàngxià,audios/fàngxià.mp3
分开,separate,fēnkāi,audios/fēnkāi.mp3
分数,fraction,fēnshù,audios/fēnshù.mp3
封,seal,fēng,audios/fēng.mp3
服务,service,fúwù,audios/fúwù.mp3
该,The,gāi,audios/gāi.mp3
改,change,gǎi,audios/gǎi.mp3
感到,feel,gǎndào,audios/gǎndào.mp3
刚,just,gāng,audios/gāng.mp3
刚刚,just,gānggāng,audios/gānggāng.mp3
高级,advanced,gāojí,audios/gāojí.mp3
高中,High school,gāozhōng,audios/gāozhōng.mp3
个子,Tall,gèzi,audios/gèzi.mp3
更,more,gèng,audios/gèng.mp3
公交车,bus,gōngjiāochē,audios/gōngjiāochē.mp3
公斤,kg,gōngjīn,audios/gōngjīn.mp3
公路,highway,gōnglù,audios/gōnglù.mp3
故事,story,gùshì,audios/gùshì.mp3
关机,Shut down,guānjī,audios/guānjī.mp3
过来,come,guòlái,audios/guòlái.mp3
过年,New Year,guònián,audios/guònián.mp3
海,sea,hǎi,audios/hǎi.mp3
海边,seaside,hǎibiān,audios/hǎibiān.mp3
好多,many,hǎoduō,audios/hǎoduō.mp3
好久,Long time,hǎojiǔ,audios/hǎojiǔ.mp3
好人,Nice guy,hǎorén,audios/hǎorén.mp3
好事,Good thing,hǎoshì,audios/hǎoshì.mp3
河,River,hé,audios/hé.mp3
黑色,black,hēisè,audios/hēisè.mp3
红色,red,hóngsè,audios/hóngsè.mp3
后来,later,hòulái,audios/hòulái.mp3
忽然,suddenly,hūrán,audios/hūrán.mp3
湖,lake,hú,audios/hú.mp3
花园,garden,huāyuán,audios/huāyuán.mp3
画家,painter,huàjiā,audios/huàjiā.mp3
画儿,Painting,huàér,audios/huàér.mp3
坏处,harm,huàichù,audios/huàichù.mp3
坏人,Bad guy,huàirén,audios/huàirén.mp3
欢迎,welcome,huānyíng,audios/huānyíng.mp3
黄,yellow,huáng,audios/huáng.mp3
黄色,yellow,huángsè,audios/huángsè.mp3
回国,Return home,huíguó,audios/huíguó.mp3
或,or,huò,audios/huò.mp3
鸡,chicken,jī,audios/jī.mp3
级,level,jí,audios/jí.mp3
急,anxious,jí,audios/jí.mp3
计算机,computer,jìsuànjī,audios/jìsuànjī.mp3
加,plus,jiā,audios/jiā.mp3
加油,Come on,jiāyóu,audios/jiāyóu.mp3
家长,Parent,jiāzhǎng,audios/jiāzhǎng.mp3
假期,Holiday,jiàqī,audios/jiàqī.mp3
见到,See,jiàndào,audios/jiàndào.mp3
见过,Have seen,jiànguò,audios/jiànguò.mp3
讲话,Speak,jiǎnghuà,audios/jiǎnghuà.mp3
交给,Hand over,jiāogěi,audios/jiāogěi.mp3
交朋友,make friends,jiāopéngyǒu,audios/jiāopéngyǒu.mp3
叫作,Called,jiàozuò,audios/jiàozuò.mp3
教师,teacher,jiàoshī,audios/jiàoshī.mp3
教学,teaching,jiàoxué,audios/jiàoxué.mp3
接到,Received,jiēdào,audios/jiēdào.mp3
接下来,Next,jiēxiàlái,audios/jiēxiàlái.mp3
接着,then,jiēzhe,audios/jiēzhe.mp3
街,street,jiē,audios/jiē.mp3
节,Section,jié,audios/jié.mp3
结果,result,jiéguǒ,audios/jiéguǒ.mp3
斤,jin,jīn,audios/jīn.mp3
今后,from now on,jīnhòu,audios/jīnhòu.mp3
进入,enter,jìnrù,audios/jìnrù.mp3
近,near,jìn,audios/jìn.mp3
酒,liqueur,jiǔ,audios/jiǔ.mp3
酒店,Hotel,jiǔdiàn,audios/jiǔdiàn.mp3
就要,Will,jiùyào,audios/jiùyào.mp3
举,Lift,jǔ,audios/jǔ.mp3
举手,Raise hand,jǔshǒu,audios/jǔshǒu.mp3
举行,Hold,jǔxíng,audios/jǔxíng.mp3
句,sentence,jù,audios/jù.mp3
卡,card,kǎ,audios/kǎ.mp3
开机,Boot up,kāijī,audios/kāijī.mp3
开心,Happy,kāixīn,audios/kāixīn.mp3
开学,Start of school,kāixué,audios/kāixué.mp3
考生,Candidate,kǎoshēng,audios/kǎoshēng.mp3
靠,by,kào,audios/kào.mp3
科,Branch,kē,audios/kē.mp3
课堂,classroom,kètáng,audios/kètáng.mp3
快餐,fast food,kuàicān,audios/kuàicān.mp3
快点儿,Hurry up,kuàidiǎnér,audios/kuàidiǎnér.mp3
快要,About to,kuàiyào,audios/kuàiyào.mp3
来自,From,láizì,audios/láizì.mp3
蓝色,blue,lánsè,audios/lánsè.mp3
篮球,basketball,lánqiú,audios/lánqiú.mp3
老年,elderly,lǎonián,audios/lǎonián.mp3
老朋友,Old friend,lǎopéngyǒu,audios/lǎopéngyǒu.mp3
老是,always,lǎoshì,audios/lǎoshì.mp3
里头,Inside,lǐtou,audios/lǐtou.mp3
例子,example,lìzi,audios/lìzi.mp3
练,practice,liàn,audios/liàn.mp3
凉,cool,liáng,audios/liáng.mp3
亮,bright,liàng,audios/liàng.mp3
零下,below zero,língxià,audios/língxià.mp3
留下,Stay,liúxià,audios/liúxià.mp3
留学生,International students,liúxuéshēng,audios/liúxuéshēng.mp3
流,flow,liú,audios/liú.mp3
路边,roadside,lùbiān,audios/lùbiān.mp3
旅客,Traveler,lǚkè,audios/lǚkè.mp3
旅行,travel,lǚxíng,audios/lǚxíng.mp3
绿色,green,lǜsè,audios/lǜsè.mp3
面¹,Noodle¹,miàn¹,audios/miàn¹.mp3
面²,Noodles²,miàn²,audios/miàn².mp3
面前,before,miànqián,audios/miànqián.mp3
名,name,míng,audios/míng.mp3
名称,name,míngchēng,audios/míngchēng.mp3
名单,List,míngdān,audios/míngdān.mp3
拿出,Take out,náchū,audios/náchū.mp3
拿到,Get,nádào,audios/nádào.mp3
那会儿,At that moment,nàhuìer,audios/nàhuìer.mp3
那么,Then,nàme,audios/nàme.mp3
那时候,At that time,nàshíhòu,audios/nàshíhòu.mp3
那样,That way,nàyàng,audios/nàyàng.mp3
南方,south,nánfāng,audios/nánfāng.mp3
难看,Ugly,nánkàn,audios/nánkàn.mp3
难题,problem,nántí,audios/nántí.mp3
难听,Ugly,nántīng,audios/nántīng.mp3
能够,were able,nénggòu,audios/nénggòu.mp3
爬,climb,pá,audios/pá.mp3
怕,afraid,pà,audios/pà.mp3
排,row,pái,audios/pái.mp3
排队,queue,páiduì,audios/páiduì.mp3
排球,volleyball,páiqiú,audios/páiqiú.mp3
碰,bump,pèng,audios/pèng.mp3
碰到,bump into,pèngdào,audios/pèngdào.mp3
碰见,meet,pèngjiàn,audios/pèngjiàn.mp3
平安,Safe,píngān,audios/píngān.mp3
瓶,bottle,píng,audios/píng.mp3
瓶子,bottle,píngzi,audios/píngzi.mp3
普通,ordinary,pǔtōng,audios/pǔtōng.mp3
普通话,Mandarin,pǔtōnghuà,audios/pǔtōnghuà.mp3
骑车,Cycling,qíchē,audios/qíchē.mp3
起飞,take off,qǐfēi,audios/qǐfēi.mp3
气,gas,qì,audios/qì.mp3
气温,Temperature,qìwēn,audios/qìwēn.mp3
千克,kilogram,qiānkè,audios/qiānkè.mp3
前年,The year before last,qiánnián,audios/qiánnián.mp3
墙,wall,qiáng,audios/qiáng.mp3
青年,youth,qīngnián,audios/qīngnián.mp3
晴天,sunny day,qíngtiān,audios/qíngtiān.mp3
请客,dinner,qǐngkè,audios/qǐngkè.mp3
秋天,fall,qiūtiān,audios/qiūtiān.mp3
求,begging,qiú,audios/qiú.mp3
球场,court,qiúchǎng,audios/qiúchǎng.mp3
球队,team,qiúduì,audios/qiúduì.mp3
球鞋,sneakers,qiúxié,audios/qiúxié.mp3
取得,Get,qǔde,audios/qǔde.mp3
全,all,quán,audios/quán.mp3
全国,Nationwide,quánguó,audios/quánguó.mp3
全家,Whole family,quánjiā,audios/quánjiā.mp3
全年,annual,quánnián,audios/quánnián.mp3
全身,whole body,quánshēn,audios/quánshēn.mp3
全体,All,quántǐ,audios/quántǐ.mp3
人们,people,rénmen,audios/rénmen.mp3
人数,Number of people,rénshù,audios/rénshù.mp3
日报,daily,rìbào,audios/rìbào.mp3
日子,day,rìzi,audios/rìzi.mp3
商人,businessman,shāngrén,audios/shāngrén.mp3
上周,Last week,shàngzhōu,audios/shàngzhōu.mp3
少数,few,shǎoshù,audios/shǎoshù.mp3
少年,juvenile,shàonián,audios/shàonián.mp3
身边,By your side,shēnbiān,audios/shēnbiān.mp3
什么样,What kind,shénmeyàng,audios/shénmeyàng.mp3
生,Give birth,shēng,audios/shēng.mp3
生词,New words,shēngcí,audios/shēngcí.mp3
市,city,shì,audios/shì.mp3
市长,mayor,shìzhǎng,audios/shìzhǎng.mp3
事情,thing,shìqíng,audios/shìqíng.mp3
收到,Roger that,shōudào,audios/shōudào.mp3
受到,Suffer,shòudào,audios/shòudào.mp3
熟,Cooked,shú,audios/shú.mp3
数,number,shù,audios/shù.mp3
送到,Sent to,sòngdào,audios/sòngdào.mp3
送给,Give to,sònggěi,audios/sònggěi.mp3
算,Calculate,suàn,audios/suàn.mp3
虽然,although,suīrán,audios/suīrán.mp3
它们,they,tāmen,audios/tāmen.mp3
提,mention,tí,audios/tí.mp3
提出,put forward,tíchū,audios/tíchū.mp3
提到,Mentioned,tídào,audios/tídào.mp3
体育场,stadium,tǐyùchǎng,audios/tǐyùchǎng.mp3
体育馆,stadium,tǐyùguǎn,audios/tǐyùguǎn.mp3
天上,Heaven,tiānshàng,audios/tiānshàng.mp3
听讲,Listen,tīngjiǎng,audios/tīngjiǎng.mp3
听说,It is said that,tīngshuō,audios/tīngshuō.mp3
停,stop,tíng,audios/tíng.mp3
停车,parking,tíngchē,audios/tíngchē.mp3
停车场,parking lot,tíngchēchǎng,audios/tíngchēchǎng.mp3
挺好,very good,tǐnghǎo,audios/tǐnghǎo.mp3
通,through,tōng,audios/tōng.mp3
同时,in the meantime,tóngshí,audios/tóngshí.mp3
同样,same,tóngyàng,audios/tóngyàng.mp3
头,head,tóu,audios/tóu.mp3
头,head,tóu,audios/tóu.mp3
图片,image,túpiàn,audios/túpiàn.mp3
外地,Out of town,wàidì,audios/wàidì.mp3
外卖,Takeaway,wàimài,audios/wàimài.mp3
晚安,good night,wǎnān,audios/wǎnān.mp3
晚报,Evening News,wǎnbào,audios/wǎnbào.mp3
晚餐,dinner,wǎncān,audios/wǎncān.mp3
晚会,Party,wǎnhuì,audios/wǎnhuì.mp3
网,network,wǎng,audios/wǎng.mp3
往,to,wǎng,audios/wǎng.mp3
问路,Ask for directions,wènlù,audios/wènlù.mp3
午餐,lunch,wǔcān,audios/wǔcān.mp3
午睡,Nap,wǔshuì,audios/wǔshuì.mp3
西北,northwest,xīběi,audios/xīběi.mp3
西餐,Western food,xīcān,audios/xīcān.mp3
西方,West,xīfāng,audios/xīfāng.mp3
西南,southwest,xīnán,audios/xīnán.mp3
西医,Western medicine,xīyī,audios/xīyī.mp3
洗衣机,washing machine,xǐyījī,audios/xǐyījī.mp3
下雪,Snowing,xiàxuě,audios/xiàxuě.mp3
下周,next week,xiàzhōu,audios/xiàzhōu.mp3
夏天,summer,xiàtiān,audios/xiàtiān.mp3
相同,the same,xiāngtóng,audios/xiāngtóng.mp3
想到,think,xiǎngdào,audios/xiǎngdào.mp3
想法,idea,xiǎngfǎ,audios/xiǎngfǎ.mp3
想起,Remember,xiǎngqǐ,audios/xiǎngqǐ.mp3
相机,camera,xiàngjī,audios/xiàngjī.mp3
像,Like,xiàng,audios/xiàng.mp3
小声,Whisper,xiǎoshēng,audios/xiǎoshēng.mp3
小时候,When I was young,xiǎoshíhòu,audios/xiǎoshíhòu.mp3
小组,group,xiǎozǔ,audios/xiǎozǔ.mp3
校园,campus,xiàoyuán,audios/xiàoyuán.mp3
笑话儿,Joke,xiàohuàér,audios/xiàohuàér.mp3
鞋,shoe,xié,audios/xié.mp3
心里,In the heart,xīnlǐ,audios/xīnlǐ.mp3
心中,In mind,xīnzhōng,audios/xīnzhōng.mp3
信,letter,xìn,audios/xìn.mp3
信息,information,xìnxī,audios/xìnxī.mp3
信用卡,credit card,xìnyòngkǎ,audios/xìnyòngkǎ.mp3
星星,star,xīngxīng,audios/xīngxīng.mp3
姓名,Name,xìngmíng,audios/xìngmíng.mp3
休假,Vacation,xiūjià,audios/xiūjià.mp3
选,selected,xuǎn,audios/xuǎn.mp3
学期,semester,xuéqī,audios/xuéqī.mp3
眼,eye,yǎn,audios/yǎn.mp3
养,support,yǎng,audios/yǎng.mp3
药店,pharmacy,yàodiàn,audios/yàodiàn.mp3
药片,pill,yàopiàn,audios/yàopiàn.mp3
药水,Potion,yàoshuǐ,audios/yàoshuǐ.mp3
夜里,at night,yèlǐ,audios/yèlǐ.mp3
一部分,Part of,yībùfèn,audios/yībùfèn.mp3
一路平安,Safe journey,yílùpíngān,audios/yílùpíngān.mp3
一路顺风,Bon Voyage,yīlùshùnfēng,audios/yīlùshùnfēng.mp3
以后,after,yǐhòu,audios/yǐhòu.mp3
以上,the above,yǐshàng,audios/yǐshàng.mp3
以外,outside,yǐwài,audios/yǐwài.mp3
以为,think,yǐwéi,audios/yǐwéi.mp3
以下,the following,yǐxià,audios/yǐxià.mp3
一点点,a little bit,yìdiǎndiǎn,audios/yìdiǎndiǎn.mp3
一生,lifetime,yīshēng,audios/yīshēng.mp3
亿,Billion,yì,audios/yì.mp3
阴天,cloudy day,yīntiān,audios/yīntiān.mp3
音节,syllable,yīnjié,audios/yīnjié.mp3
音乐会,concert,yīnyuèhuì,audios/yīnyuèhuì.mp3
银行卡,Bank card,yínhángkǎ,audios/yínhángkǎ.mp3
英文,English,yīngwén,audios/yīngwén.mp3
英语,English,yīngyǔ,audios/yīngyǔ.mp3
影片,film,yǐngpiān,audios/yǐngpiān.mp3
油,oil,yóu,audios/yóu.mp3
游客,Tourist,yóukè,audios/yóukè.mp3
有空儿,available,yǒukòngér,audios/yǒukòngér.mp3
有人,Someone,yǒurén,audios/yǒurén.mp3
有意思,interesting,yǒuyìsī,audios/yǒuyìsī.mp3
院,hospital,yuàn,audios/yuàn.mp3
院长,Dean,yuànzhǎng,audios/yuànzhǎng.mp3
院子,courtyard,yuànzi,audios/yuànzi.mp3
月份,month,yuèfèn,audios/yuèfèn.mp3
越来越,More and more,yuèláiyuè,audios/yuèláiyuè.mp3
云,cloud,yún,audios/yún.mp3
咱,we,zán,audios/zán.mp3
脏,dirty,zàng,audios/zàng.mp3
早餐,breakfast,zǎocān,audios/zǎocān.mp3
早晨,in the morning,zǎochén,audios/zǎochén.mp3
早就,Long ago,zǎojiù,audios/zǎojiù.mp3
怎么办,How to do,zěnmebàn,audios/zěnmebàn.mp3
怎样,how,zěnyàng,audios/zěnyàng.mp3
占,Take up,zhàn,audios/zhàn.mp3
站住,stop,zhànzhù,audios/zhànzhù.mp3
长大,grow up,zhǎngdà,audios/zhǎngdà.mp3
找出,Find out,zhǎochū,audios/zhǎochū.mp3
照相,Photograph,zhàoxiàng,audios/zhàoxiàng.mp3
这么,so,zhème,audios/zhème.mp3
这时候,At this moment,zhèshíhòu,audios/zhèshíhòu.mp3
这样,such,zhèyàng,audios/zhèyàng.mp3
正是,Exactly,zhèngshì,audios/zhèngshì.mp3
只能,Can only,zhǐnéng,audios/zhǐnéng.mp3
纸,paper,zhǐ,audios/zhǐ.mp3
中餐,Chinese food,zhōngcān,audios/zhōngcān.mp3
中级,intermediate,zhōngjí,audios/zhōngjí.mp3
中年,middle aged,zhōngnián,audios/zhōngnián.mp3
中小学,Elementary and middle school,zhōngxiǎoxué,audios/zhōngxiǎoxué.mp3
中医,Chinese Medicine,zhōngyī,audios/zhōngyī.mp3
周,week,zhōu,audios/zhōu.mp3
住房,housing,zhùfáng,audios/zhùfáng.mp3
住院,Be hospitalized,zhùyuàn,audios/zhùyuàn.mp3
自行车,bicycle,zìxíngchē,audios/zìxíngchē.mp3
字典,dictionary,zìdiǎn,audios/zìdiǎn.mp3
走过,Walk through,zǒuguò,audios/zǒuguò.mp3
走进,Walk in,zǒujìn,audios/zǒujìn.mp3
走开,Go away,zǒukāi,audios/zǒukāi.mp3
组,group,zǔ,audios/zǔ.mp3
组成,composition,zǔchéng,audios/zǔchéng.mp3
组长,Group leader,zǔzhǎng,audios/zǔzhǎng.mp3
嘴,mouth,zuǐ,audios/zuǐ.mp3
作家,writer,zuòjiā,audios/zuòjiā.mp3
作用,effect,zuòyòng,audios/zuòyòng.mp3
做到,Do it,zuòdào,audios/zuòdào.mp3
做法,practice,zuòfǎ,audios/zuòfǎ.mp3
做饭,Cook,zuòfàn,audios/zuòfàn.mp3
