hanzi,translation,pinyin
毛,hair,máo
没,No,méi
没什么,It&#39;s nothing,méishénme
没事儿,It&#39;s okay,méishìér
没有,No,méiyǒu
门口,Doorway,ménkǒu
门票,Tickets,ménpiào
们,They,men
面条儿,Noodles,miàntiáoér
明年,next year,míngnián
哪里,where,nǎlǐ
哪些,Which,něixiē
那边,there,nàbiān
那里,There,nàlǐ
那儿,there,nàér
那些,Those ones,nèixiē
奶,milk,nǎi
男,male,nán
男孩儿,boy,nánháier
男朋友,boyfriend,nánpéngyǒu
男人,the man,nánrén
男生,Boys,nánshēng
南边,South side,nánbiān
你们,you guys,nǐmen
女,Female,nǚ
女孩儿,Girl,nǚháiér
女朋友,girlfriend,nǚpéngyǒu
女人,woman,nǚrén
女生,Schoolgirl,nǚshēng
跑,run,pǎo
起,From,qǐ
起来,stand up,qǐlái
汽车,car,qìchē
前,before,qián
前边,Front,qiánbiān
前天,The day before yesterday,qiántiān
钱包,wallet,qiánbāo
请假,Ask for leave,qǐngjià
请进,Please come in,qǐngjìn
请问,Excuse me,qǐngwèn
请坐,Please sit down,qǐngzuò
球,ball,qiú
日,day,rì
肉,meat,ròu
山,mountain,shān
商场,the mall,shāngchǎng
上,on,shàng
上边,Above,shàngbiān
上车,boarding,shàngchē
上次,Last time,shàngcì
上课,Go to class,shàngkè
上学,go to school,shàngxué
身上,Body,shēnshàng
事,thing,shì
试,test,shì
是不是,is not it,shìbúshì
手,hand,shǒu
书包,school bag,shūbāo
书店,bookstore,shūdiàn
水果,fruit,shuǐguǒ
睡,sleep,shuì
说,Say,shuō
说话,speak,shuōhuà
他们,they,tāmen
她们,they,tāmen
天,day,tiān
听到,Hear,tīngdào
听见,hear,tīngjiàn
听写,dictation,tīngxiě
外边,outside,wàibiān
外国,Foreign country,wàiguó
外语,foreign language,wàiyǔ
玩儿,play,wánér
晚,late,wǎn
晚饭,dinner,wǎnfàn
网上,Online,wǎngshàng
网友,Netizen,wǎngyǒu
忘,forget,wàng
午饭,lunch,wǔfàn
西边,West side,xībiān
下班,Off work,xiàbān
下边,below,xiàbiān
下车,get off,xiàchē
下次,Next time,xiàcì
下课,End of get out of class,xiàkè
小孩儿,child,xiǎoháiér
小朋友,Kids,xiǎopéngyǒu
小学,primary school,xiǎoxué
小学生,Elementary school student,xiǎoxuéshēng
新年,new Year,xīnnián
星期日,on Sunday,xīngqīrì
星期天,Sunday,xīngqītiān
学,learn,xué
学院,Academy,xuéyuàn
要,want,yào
一半,half,yíbàn
一块儿,Together,yīkuàiér
一下儿,a while,yīxiàér
一点儿,a little,yìdiǎnér
一些,some,yīxiē
有的,some,yǒude
有时候,sometimes,yǒushíhòu
有用,it works,yǒuyòng
右,right,yòu
雨,rain,yǔ
元,yuan,yuán
在家,At home,zàijiā
早,early,zǎo
早饭,breakfast,zǎofàn
找到,turn up,zhǎodào
这边,Here,zhèbiān
这里,Here,zhèlǐ
这儿,here,zhèér
这些,These ones,zhèxiē
真的,Really,zhēnde
知道,know,zhīdào
中,in,zhōng
中文,Chinese,zhōngwén
中学,Middle school,zhōngxué
中学生,middle School student,zhōngxuéshēng
重,weight,zhòng
子,child,zi
走路,walk,zǒulù
最后,At last,zuìhòu
左,left,zuǒ
坐下,sit down,zuòxià
