hanzi,translation
名人,celebrity
模特儿,Model
末,end
男女,men and women
男士,Men
难免,Inevitable
闹,Make trouble
闹钟,Alarm clock
内部,internal
宁静,peaceful
暖气,Heating
拍照,Take pictures
牌,brand
盘,plate
胖子,Fat man
培训,Training
培训班,Training class
平稳,smooth
期末,End of term
期中,Midterm
气球,balloon
汽水,Soda
前头,Front
亲密,close
轻易,easily
穷人,Poor
秋季,autumn
燃料,fuel
散,Scattered
扫,sweep
色,color
色彩,color
耕,Tillage
闪,flash
伤害,hurt
商务,Business
赏,reward
上个月,last month
上楼,Go upstairs
上门,Door-to-door
烧,burn
身高,height
深厚,deep
诗人,poet
湿,wet
食堂,canteen
使劲,Hard
市区,Urban area
是否,whether
收回,Withdraw
手里,In hand
守,Shou
首,first
暑假,summer vacation
树林,forest
树叶,Leaves
刷,brush
刷子,brush
帅哥,Handsome guy
率先,Take the lead
睡着,sleep
松,loose
松树,pine
塑料,plastic
酸奶,Yogurt
随手,Casually
孙女,granddaughter
孙子,grandson
缩小,Zoom out
台上,On stage
套餐,Set meal
特价,Special offer
体操,gymnastics
体检,Physical examination
体重,body weight
替,for
替代,Substitute
填,fill
挑,pick
挑选,Pick
挑,pick
贴,paste
停下,Stop
通知书,Notice
童年,childhood
投,cast
投入,Invest in
投诉,Complaint
透,through
途中,en route
外汇,Foreign exchange
外交官,diplomat
外套,coat
弯,bend
晚点,late
王,king
网络,The internet
网址,URL
微信,Wechat
维护,maintain
维修,service
位于,lie in
味儿,Taste
稳,stable
无法,Unable to
无所谓,It doesn&#39;t matter
无限,unlimited
五颜六色,Colorful
吸,Suck
吸管,straw
吸烟,Smoking
喜爱,favorite
细,fine
下个月,next month
下降,decline
下楼,Go downstairs
夏季,summer
鲜,fresh
鲜花,Fresh flowers
限制,limit
箱,box
箱子,box
项,item
相片,photo
小吃,snack
小伙子,Young man
小型,Small
新型,New type
型,type
型号,model
兴趣,interest
胸部,chest
修理,repair
学分,credit
学年,school year
学时,Class hours
牙,tooth
牙刷,toothbrush
亚运会,Asian Games
严,strict
研究,the study
研究生,Postgraduate
研制,Develop
眼镜,glasses
眼泪,Tears
眼里,In the eyes
演讲,Speech
药物,drug
要,want
医疗,Medical treatment
医学,medicine
一律,Always
一再,repeatedly
移,shift
以内,Within
一般来说,Generally speaking
引,lead
引进,Bring in
应,should
赢得,win
优良,excellent
邮局,post Office
有劲儿,Vigorous
有限,limited
语音,voice
玉,jade
预测,prediction
遇,Meet
遇见,meet
圆,round
月底,End of month
运动会,Sports meeting
运动员,athlete
在乎,care
在于,Lies in
赞赏,Praise
战胜,Defeat
战士,warrior
招呼,call
着火,on fire
针,needle
之后,after that
之间,between
之前,prior to
之一,one
制订,Formulate
治,rule
种类,species
中奖,Win a lottery
种植,Planting
逐渐,gradually
主题,theme
转动,Rotate
转身,Turn around
转弯,Turn
装修,Decoration
装置,Device
自,from
自信,confidence
字母,letter
嘴巴,mouth
作出,Make
做梦,dream
